পর্ব ১: সমান্তর ধারা (Arithmetic Progression - AP) বেসিক
১. সমান্তর ধারার n-তম পদের সূত্র কোনটি? ক. a + (n-1)d খ. a + nd গ. a + (n+1)d ঘ. arⁿ⁻¹ | উত্তর: ক | ব্যাখ্যা: সমান্তর ধারায় যেকোনো পদ নির্ণয়ের মূল সূত্র a + (n-1)d, যেখানে a=প্রথম পদ, d=সাধারণ অন্তর।
১০. ৯, ৭, ৫... ধারাটির কততম পদ -৩১? ক. ১৯ খ. ২০ গ. ২১ ঘ. ২২ | উত্তর: গ | ব্যাখ্যা: ৯ + (n-1)(-২) = -৩১ ⇒ -2(n-1) = -৪০ ⇒ n-1 = ২০ ⇒ n = ২১।


১১. একটি সমান্তর ধারার ৩য় পদ ১১ এবং ৮ম পদ ৩১। ধারাটির ১৫তম পদ কত? ক. ৫৫ খ. ৫৯ গ. ৬৩ ঘ. ৬৭ | উত্তর: খ | ব্যাখ্যা: ৫d = ৩১-১১ = ২০ ⇒ d=৪। ৩য় পদ ১১, ১ম পদ a = ১১-২d = ৩। ১৫তম পদ = ৩ + ১৪(৪) = ৩+৫৬ = ৫৯।


১২. a, b, c সমান্তর ধারায় থাকলে নিচের কোনটি সঠিক? ক. b = a+c খ. 2b = a+c গ. b² = ac ঘ. c = a+b | উত্তর: খ | ব্যাখ্যা: সমান্তর ধারায় মাঝের পদটি দুই প্রান্তের পদের গড়ের সমান। b = (a+c)/2 বা 2b = a+c।


১৩. ৫, x, ১৫ সমান্তর ধারায় থাকলে x এর মান কত? ক. ১০ খ. ১১ গ. ১২ ঘ. ১৩ | উত্তর: ক | ব্যাখ্যা: x = (৫+১৫)/২ = ১০।


১৪. 2x, 3x+1, 5x-2 সমান্তর ধারায় থাকলে x এর মান কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: ঘ | ব্যাখ্যা: 2(3x+1) = 2x + 5x - 2 ⇒ 6x+2 = 7x-2 ⇒ x = 4।


১৫. একটি সমান্তর ধারার p-তম পদ q এবং q-তম পদ p হলে, (p+q)-তম পদ কত? ক. 0 খ. 1 গ. p+q ঘ. pq | উত্তর: ক | ব্যাখ্যা: এটি একটি স্ট্যান্ডার্ড শর্টকাট। p-তম পদ q, q-তম পদ p হলে (p+q)-তম পদ সর্বদা 0 হয়।


১৬. একটি সমান্তর ধারার p-তম পদ q এবং q-তম পদ p হলে, r-তম পদ কত? ক. p+q-r খ. p-q+r গ. r-p-q ঘ. 0 | উত্তর: ক | ব্যাখ্যা: শর্টকাট সূত্র: n-তম পদ = p+q-n। তাই r-তম পদ = p+q-r।


১৭. ১, ৪, ৭... ধারার n পদের মান ১৪৮ হলে n = কত? ক. ৪৮ খ. ৪৯ গ. ৫০ ঘ. ৫১ | উত্তর: গ | ব্যাখ্যা: ১ + (n-1)৩ = ১৪৮ ⇒ 3(n-1) = ১৪৭ ⇒ n-1 = ৪৯ ⇒ n = ৫০।


১৮. ১২, ১৯, ২৬... ধারার কোন পদ ৩২০? ক. ৪৪ খ. ৪৫ গ. ৪৬ ঘ. ৪৭ | উত্তর: খ | ব্যাখ্যা: ১২ + (n-1)৭ = ৩২০ ⇒ 7(n-1) = ৩০৮ ⇒ n-1 = ৪৪ ⇒ n = ৪৫।


১৯. ১১, ১৪, ১৭... ধারার ১০০তম পদ কোনটি? ক. ৩০৮ খ. ৩০৯ গ. ৩১০ ঘ. ৩১১ | উত্তর: ক | ব্যাখ্যা: ১১ + ৯৯(৩) = ১১ + ২৯৭ = ৩০৮।


২০. সমান্তর ধারার প্রথম পদ a এবং শেষ পদ l হলে, পদসংখ্যা n নির্ণয়ের সূত্র কী? ক. (l-a)/d + 1 খ. (l+a)/d - 1 গ. (l-a)/d - 1 ঘ. (l+a)/2 | উত্তর: ক | ব্যাখ্যা: পদসংখ্যা = [(শেষ পদ - প্রথম পদ) / সাধারণ অন্তর] + ১।


২১. ৩, ৬, ৯... ৯৯ ধারায় কতটি পদ আছে? ক. ৩১ খ. ৩২ গ. ৩৩ ঘ. ৩৪ | উত্তর: গ | ব্যাখ্যা: n = (৯৯-৩)/৩ + ১ = ৩২ + ১ = ৩৩।


২২. ১০, ১৫, ২০... ২৫০ ধারায় কতটি পদ আছে? ক. ৪৮ খ. ৪৯ গ. ৫০ ঘ. ৫১ | উত্তর: খ | ব্যাখ্যা: n = (২৫০-১০)/৫ + ১ = ৪৮ + ১ = ৪৯।


২৩. কোন ধারার n-তম পদ 2n-1 হলে ধারাটি কী? ক. জোড় সংখ্যা খ. বিজোড় সংখ্যা গ. মৌলিক সংখ্যা ঘ. পূর্ণবর্গ সংখ্যা | উত্তর: খ | ব্যাখ্যা: n=১ বসালে ১, n=২ বসালে ৩, n=৩ বসালে ৫। ১,৩,৫... এটি বিজোড় সংখ্যার ধারা।


২৪. সমান্তর ধারার n-তম পদ 3n+2 হলে, সাধারণ অন্তর কত? ক. ২ খ. ৩ গ. ৫ ঘ. ৬ | উত্তর: খ | ব্যাখ্যা: n এর সহগ-ই সর্বদা সাধারণ অন্তর হয়। n=1 এ ৫, n=2 এ ৮। অন্তর = ৮-৫=৩।


২৫. একটি সমান্তর ধারার ৫ম পদ ১৮ এবং ১০ম পদ ৩৩ হলে, ১ম পদ কত? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: ৫d = ১৫ ⇒ d=৩। a + 4(3) = 18 ⇒ a = 6।


২৬. ৩, x, y, ১৮ সমান্তর ধারায় থাকলে x এবং y এর মান কত? ক. ৮, ১৩ খ. ৭, ১২ গ. ৬, ১১ ঘ. ৯, ১৪ | উত্তর: ক | ব্যাখ্যা: ১৮ হলো ৪র্থ পদ। ৩ + ৩d = ১৮ ⇒ d = ৫। x = ৩+৫=৮, y = ৮+৫=১৩।


২৭. ১০০ ও ২০০ এর মধ্যবর্তী ৩ দ্বারা বিভাজ্য সংখ্যা কতটি? ক. ৩২ খ. ৩৩ গ. ৩৪ ঘ. ৩৫ | উত্তর: খ | ব্যাখ্যা: প্রথম পদ ১০২, শেষ পদ ১৯৮। n = (১৯৮-১০২)/৩ + ১ = ৯৬/৩ + ১ = ৩২ + ১ = ৩৩টি।


২৮. ১০০ ও ৩০০ এর মধ্যে ৭ দ্বারা বিভাজ্য সংখ্যা কয়টি? ক. ২৮ খ. ২৯ গ. ৩০ ঘ. ৩১ | উত্তর: খ | ব্যাখ্যা: প্রথম ১০৫, শেষ ২৯৪। n = (২৯৪-১০৫)/৭ + ১ = ১৮৯/৭ + ১ = ২৭+১ = ২৮টি। (সংশোধন: ১০৫ থেকে ২৯৪ পর্যন্ত ২৮টি)। উত্তর: ২৮।


২৯. ৫ থেকে ১০০ পর্যন্ত ৪ দ্বারা বিভাজ্য সংখ্যা কতটি? ক. ২৪ খ. ২৫ গ. ২৬ ঘ. ২৭ | উত্তর: ক | ব্যাখ্যা: প্রথম ৮, শেষ ১০০। n = (১০০-৮)/৪ + ১ = ৯২/৪ + ১ = ২৩+১ = ২৪টি।


৩০. ১ থেকে ১০০ পর্যন্ত যে সংখ্যাগুলো ২ ও ৩ উভয় দ্বারা বিভাজ্য, তাদের সংখ্যা কত? ক. ১৫ খ. ১৬ গ. ১৭ ঘ. ১৮ | উত্তর: খ | ব্যাখ্যা: ২ ও ৩ এর লসাগু ৬। ৬ দ্বারা বিভাজ্য সংখ্যা = ১০০/৬ = ১৬টি।


৩১. কোনো সমান্তর ধারার ৭ম পদ ২০ এবং ১৩তম পদ ৩২ হলে সাধারণ অন্তর কত? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: ক | ব্যাখ্যা: ৬d = ৩২ - ২০ = ১২ ⇒ d = ২।


৩২. সমান্তর ধারার ১ম পদ ৪, সাধারণ অন্তর ৫ হলে, ধারাটি কী হবে? ক. ৪, ৮, ১২... খ. ৪, ৯, ১৪... গ. ৫, ৯, ১৩... ঘ. ৪, ১০, ১৫... | উত্তর: খ | ব্যাখ্যা: ৪, ৪+৫=৯, ৯+৫=১৪।


৩৩. ৫, ৮, ১১... ধারার কোন পদটি প্রথম ১০০ এর চেয়ে বড় হবে? ক. ৩২তম খ. ৩৩তম গ. ৩৪তম ঘ. ৩৫তম | উত্তর: খ | ব্যাখ্যা: ৫ + (n-1)৩ > ১০০ ⇒ 3(n-1) > ৯৫ ⇒ n-1 > ৩১.৬ ⇒ n > ৩২.৬। পূর্ণসংখ্যা ৩৩তম।


৩৪. ২, ৪, ৬... ধারার n-তম পদ কোনটি? ক. 2n-1 খ. 2n গ. 2n+1 ঘ. 2n+2 | উত্তর: খ | ব্যাখ্যা: এটি জোড় সংখ্যার ধারা। সূত্র 2n।


৩৫. ৭, ১০, ১৩... ধারার ২০তম পদ এবং ১৫তম পদের পার্থক্য কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: খ | ব্যাখ্যা: ৫টি পদের পার্থক্য = ৫d। d=৩। ৫×৩ = ১৫।


৩৬. একটি ধারার সাধারণ অন্তর 0 (শূন্য) হলে ধারাটি কেমন হবে? ক. গুণোত্তর খ. অমূলদ গ. ধ্রুবক (Constant) ঘ. শূন্য | উত্তর: গ | ব্যাখ্যা: অন্তর শূন্য হলে পদগুলো একই থাকে (৫, ৫, ৫, ৫)। এটি সমান্তর ও গুণোত্তর উভয়ই হতে পারে, একে Constant sequence বলে।


৩৭. সমান্তর ধারায় ২য় পদ ও ১ম পদের পার্থক্যকে কী বলে? ক. সাধারণ অনুপাত খ. সাধারণ অন্তর গ. গাণিতিক গড় ঘ. মধ্যমা | উত্তর: খ | ব্যাখ্যা: একে Common Difference বা সাধারণ অন্তর বলে।


৩৮. ১০, ৮, ৬, ৪... ধারাটির সাধারণ অন্তর কত? ক. ২ খ. -২ গ. ৪ ঘ. -৪ | উত্তর: খ | ব্যাখ্যা: ২য় পদ - ১ম পদ = ৮ - ১০ = -২।


৩৯. n-তম পদ = 5-2n হলে, ধারাটির ৩য় পদ কত? ক. -1 খ. 1 গ. -2 ঘ. 2 | উত্তর: ক | ব্যাখ্যা: n=3 বসালে, 5 - 2(3) = 5 - 6 = -1।


৪০. একটি সমান্তর ধারার ১ম পদ ৫, শেষ পদ ১০৫ এবং পদসংখ্যা ২১ হলে সাধারণ অন্তর কত? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: খ | ব্যাখ্যা: ৫ + (২১-১)d = ১০৫ ⇒ ২০d = ১০০ ⇒ d = ৫।
পর্ব ২: সমান্তর ধারার যোগফল (AP Sums)
৪১. সমান্তর ধারার n পদের সমষ্টির সূত্র কী? ক. n/2 (a+l) খ. n/2 [2a + (n-1)d] গ. ক ও খ উভয়ই ঘ. a(rⁿ-1)/(r-1) | উত্তর: গ | ব্যাখ্যা: শেষ পদ জানা থাকলে n/2 (a+l), না থাকলে n/2 [2a + (n-1)d]।


৪২. ১ + ২ + ৩ + ... + ১০০ = কত? ক. ৫০৫০ খ. ৫০০০ গ. ৫৫০০ ঘ. ৫১৫০ | উত্তর: ক | ব্যাখ্যা: n(n+1)/2 = ১০০×১০১/২ = ৫০৫০।


৪৩. ১ + ৩ + ৫ + ... + ৯৯ = কত? ক. ২৪০০ খ. ২৫০০ গ. ২৬০০ ঘ. ২৭০০ | উত্তর: খ | ব্যাখ্যা: পদসংখ্যা = (৯৯-১)/২ + ১ = ৫০টি। বিজোড় সংখ্যার সমষ্টি n² = ৫০² = ২৫০০।


৪৪. ২ + ৪ + ৬ + ... + ১০০ = কত? ক. ২৫০০ খ. ২৫৫০ গ. ২৬০০ ঘ. ২৬৫০ | উত্তর: খ | ব্যাখ্যা: পদসংখ্যা ৫০। জোড় সংখ্যার সমষ্টি n(n+1) = ৫০×৫১ = ২৫৫০।


৪৫. ৫ + ৮ + ১১ + ... ধারার প্রথম ২০ পদের সমষ্টি কত? ক. ৬৬০ খ. ৬৭০ গ. ৬৮০ ঘ. ৬৯০ | উত্তর: খ | ব্যাখ্যা: S = ২০/২ [২(৫) + ১৯(৩)] = ১০[১০ + ৫৭] = ১০ × ৬৭ = ৬৭০।


৪৬. ১ থেকে ৫০ পর্যন্ত বিজোড় সংখ্যাগুলোর যোগফল কত? ক. ৬০০ খ. ৬২৫ গ. ৬৫০ ঘ. ৬৭৫ | উত্তর: খ | ব্যাখ্যা: ১ থেকে ৫০ পর্যন্ত বিজোড় সংখ্যা ২৫টি। সমষ্টি = ২৫² = ৬২৫।


৪৭. একটি সমান্তর ধারার প্রথম পদ ৫ এবং শেষ পদ ৪৫। যদি সমষ্টি ৪০০ হয়, তবে পদসংখ্যা কত? ক. ১৪ খ. ১৬ গ. ১৮ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: S = n/2 (a+l) ⇒ ৪০০ = n/2 (৫+৪৫) ⇒ ৪০০ = ২৫n ⇒ n = ১৬।


৪৮. ৯ + ৭ + ৫ + ... ধারার প্রথম ১০ পদের সমষ্টি কত? ক. 0 খ. -10 গ. 10 ঘ. 20 | উত্তর: ক | ব্যাখ্যা: S = ১০/২ [২(৯) + ৯(-২)] = ৫[১৮ - ১৮] = 0।


৪৯. প্রথম n সংখ্যক স্বাভাবিক সংখ্যার সমষ্টি কত? ক. n² খ. n(n+1) গ. n(n+1)/2 ঘ. n(n-1)/2 | উত্তর: গ | ব্যাখ্যা: ১+২+৩+...+n এর সূত্র হলো n(n+1)/2।


৫০. প্রথম n সংখ্যক বিজোড় সংখ্যার সমষ্টি কত? ক. n² খ. n(n+1) গ. 2n ঘ. n²+1 | উত্তর: ক | ব্যাখ্যা: সূত্র: n²।


৫১. প্রথম n সংখ্যক জোড় সংখ্যার সমষ্টি কত? ক. n² খ. n(n+1) গ. n(n+2) ঘ. n²/2 | উত্তর: খ | ব্যাখ্যা: সূত্র: n(n+1)।


৫২. ৮ + ১৬ + ২৪ + ... ধারার প্রথম ৯টি পদের সমষ্টি কত? ক. ৩৬০ খ. ৩৪০ গ. ৩৮০ ঘ. ৪০০ | উত্তর: ক | ব্যাখ্যা: ৮ কমন নিলে: ৮(১+২+...+৯) = ৮ × ৯×১০/২ = ৮ × ৪৫ = ৩৬০।


৫৩. একটি সমান্তর ধারার n পদের সমষ্টি n(n+1) হলে ধারাটির সাধারণ অন্তর কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: n(n+1) হলো জোড় সংখ্যার সমষ্টির সূত্র (২+৪+৬...)। এদের অন্তর ২। (অথবা, S1=2, S2=6. T2=6-2=4. d=4-2=2)।


৫৪. ১০ + ১২ + ১৪ + ... + ৩০ = কত? ক. ২১০ খ. ২২০ গ. ২৩০ ঘ. ২৪০ | উত্তর: খ | ব্যাখ্যা: পদসংখ্যা = (৩০-১০)/২ + ১ = ১১। সমষ্টি = ১১/২ (১০+৩০) = ১১ × ২০ = ২২০।


৫৫. ৫ + ১০ + ১৫ + ... + ৫০ = কত? ক. ২৫০ খ. ২৭৫ গ. ৩০০ ঘ. ৩২৫ | উত্তর: খ | ব্যাখ্যা: পদসংখ্যা ১০। সমষ্টি = ১০/২ (৫+৫০) = ৫ × ৫৫ = ২৭৫।


৫৬. একটি সমান্তর ধারার প্রথম ১২ পদের সমষ্টি ১৪৪ এবং প্রথম ২০ পদের সমষ্টি ৪০০ হলে, সাধারণ অন্তর কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: ১৪৪ = ১২/২(2a+11d) ⇒ 2a+11d=24; ৪০০ = ২০/২(2a+19d) ⇒ 2a+19d=40। বিয়োগ করলে 8d=16 ⇒ d=2।


৫৭. একটি সমান্তর ধারার n পদের সমষ্টি 3n² + 2n হলে, প্রথম পদ কত? ক. ২ খ. ৩ গ. ৫ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: প্রথম পদ = S₁ (১ পদের সমষ্টি)। n=১ বসালে, 3(1)² + 2(1) = 3 + 2 = 5।


৫৮. ১ থেকে ১০০ এর মধ্যে ৩ দ্বারা বিভাজ্য সংখ্যাগুলোর সমষ্টি কত? ক. ১৬৮৩ খ. ১৭০০ গ. ১৭৮৩ ঘ. ১৮০০ | উত্তর: ক | ব্যাখ্যা: ৩+৬+...+৯৯। পদসংখ্যা ৩৩। সমষ্টি = ৩৩/২(৩+৯৯) = ৩৩ × ৫১ = ১৬৮৩।


৫৯. একটি ধারার ৩য় পদ ১১ এবং ৮ম পদ ৩১। ধারাটির প্রথম ১০ পদের সমষ্টি কত? ক. ১৯০ খ. ২০০ গ. ২১০ ঘ. ২২:০ | উত্তর: গ | ব্যাখ্যা: ৫d = ২০ ⇒ d=৪। a = ৩। S₁₀ = ১০/২[২(৩) + ৯(৪)] = ৫[৬+৩৬] = ৫ × ৪২ = ২১০।


৬০. সমান্তর ধারার প্রথম পদ ৪ এবং শেষ পদ ৪০। সমষ্টি ২২০ হলে, পদসংখ্যা কত? ক. ৮ খ. ১০ গ. ১২ ঘ. ১৪ | উত্তর: খ | ব্যাখ্যা: n/2(৪+৪০) = ২২০ ⇒ 22n = 220 ⇒ n = 10।


৬১. একটি ঘড়িতে ১টায় ১টি, ২টায় ২টি, এভাবে ঘণ্টা বাজে। দিনে ঘড়িটি কতবার বাজবে? ক. ৭৮ খ. ১৫৬ গ. ৩০০ ঘ. ৩১২ | উত্তর: খ | ব্যাখ্যা: ১২ ঘণ্টায় বাজে: ১+২+৩+...+১২ = ১২×১৩/২ = ৭৮ বার। ২৪ ঘণ্টায় (১ দিনে) বাজে ৭৮×২ = ১৫৬ বার।


৬২. ১-৫০ পর্যন্ত সংখ্যাগুলোর গড় কত? ক. ২৫ খ. ২৫.৫ গ. ২৬ ঘ. ২৬.৫ | উত্তর: খ | ব্যাখ্যা: সমান্তর ধারার গড় = (প্রথম পদ + শেষ পদ) / ২ = (১+৫০)/২ = ২৫.৫।


৬৩. ২, ৪, ৬... ধারার প্রথম কতটি পদের সমষ্টি ৪২০ হবে? ক. ১৯ খ. ২০ গ. ২১ ঘ. ২২ | উত্তর: খ | ব্যাখ্যা: জোড় সংখ্যার সমষ্টি n(n+1) = ৪২০। ২০ × ২১ = ৪২০, তাই n = ২০।


৬৪. ১, ৩, ৫... ধারার প্রথম কতটি পদের সমষ্টি ৬২৫ হবে? ক. ২০ খ. ২২ গ. ২৫ ঘ. ৩০ | উত্তর: গ | ব্যাখ্যা: বিজোড় সংখ্যার সমষ্টি n² = ৬২৫। n = ২৫।


৬৫. ১১ + ১৩ + ১৫ + ... + ৩৯ = কত? ক. ৩৭৫ খ. ৪০০ গ. ৪২৫ ঘ. ৪৫০ | উত্তর: ক | ব্যাখ্যা: n = (৩৯-১১)/২ + ১ = ১৫। S = ১৫/২ (১১+৩৯) = ১৫ × ২৫ = ৩৭৫।


৬৬. কোনো সমান্তর ধারার p পদের সমষ্টি q এবং q পদের সমষ্টি p হলে, (p+q) পদের সমষ্টি কত? ক. 0 খ. p+q গ. -(p+q) ঘ. pq | উত্তর: গ | ব্যাখ্যা: এটি একটি স্ট্যান্ডার্ড সূত্র। সমষ্টি হবে সর্বদা -(p+q)।


৬৭. ১+২+৩+...+n = ৩২৫ হলে n এর মান কত? ক. ২৪ খ. ২৫ গ. ২৬ ঘ. ২৭ | উত্তর: খ | ব্যাখ্যা: n(n+1)/2 = 325 ⇒ n(n+1) = 650। 25×26 = 650, তাই n=25।


৬৮. একটি সমান্তর ধারার প্রথম ৬ পদের সমষ্টি এবং প্রথম ৭ পদের সমষ্টি সমান। ধারাটির ৭ম পদ কত? ক. -1 খ. 0 গ. 1 ঘ. 6 | উত্তর: খ | ব্যাখ্যা: S₇ = S₆ + T₇। যেহেতু S₇ = S₆, তাই T₇ = 0।


৬৯. ৭+১৪+২১+...+১০৫ = ? ক. ৭০০ খ. ৭৭০ গ. ৮৪০ ঘ. ৯১০ | উত্তর: গ | ব্যাখ্যা: ৭(১+২+...+১৫) = ৭ × ১৫×১৬/২ = ৭ × ১২০ = ৮৪০।


৭০. ১০০ থেকে ২০০ পর্যন্ত ৫ দ্বারা বিভাজ্য সংখ্যাগুলোর সমষ্টি কত? ক. ৩০৫০ খ. ৩১৫০ গ. ৩১০০ ঘ. ৩২০০ | উত্তর: খ | ব্যাখ্যা: ১০৫+১১০+...+১৯৫। পদসংখ্যা = (১৯৫-১০৫)/৫ + ১ = ১৯। সমষ্টি = ১৯/২ (১০৫+১৯৫) = ১৯ × ১৫০ = ২৮৫০। (যদি ১০০ ও ২০০ কে অন্তর্ভুক্ত করা হয়: ২১/২ (১০০+২০০) = ২১×১৫০ = ৩১৫০। সাধারণত 'পর্যন্ত' বললে অন্তর্ভুক্ত হয়)। উত্তর খ।


৭১. সমান্তর ধারায় ৩টি ক্রমিক পদের সমষ্টি ২৪ হলে মাঝের পদটি কত? ক. ৬ খ. ৭ গ. ৮ ঘ. ৯ | উত্তর: গ | ব্যাখ্যা: ৩টি পদের সমষ্টি ৩a = ২৪। মাঝের পদ a = ৮।


৭২. সমান্তর ধারায় ৫টি ক্রমিক পদের সমষ্টি ৩০ হলে ৩য় পদটি কত? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: গ | ব্যাখ্যা: ৫টি পদের সমষ্টি ৫a = ৩০। মাঝের পদ a = ৬।


৭৩. একটি ত্রিভুজের কোণগুলো সমান্তর ধারায় আছে। ক্ষুদ্রতম কোণ ৩০° হলে বৃহত্তম কোণটি কত? ক. ৬০° খ. ৭৫° গ. ৯০° ঘ. স্থূলকোণ | উত্তর: গ | ব্যাখ্যা: কোণগুলো a-d, a, a+d। সমষ্টি 3a = 180 ⇒ a = 60°। ক্ষুদ্রতম 60-d = 30 ⇒ d=30। বৃহত্তম 60+30 = 90°।


৭৪. একটি সমান্তর ধারার ১ম পদ ৫ এবং সাধারণ অন্তর -২ হলে প্রথম ৫ পদের সমষ্টি কত? ক. ৫ খ. ১০ গ. ১৫ ঘ. ২০ | উত্তর: ক | ব্যাখ্যা: ৫/২[২(৫) + ৪(-২)] = ৫/২[১০ - ৮] = ৫/২ × ২ = ৫।


৭৫. ১৫ + ১২ + ৯ + ... ধারার কতটি পদের সমষ্টি ৩৯ হবে? ক. ৩ খ. ৪ গ. ৫ ঘ. ৬ | উত্তর: গ | ব্যাখ্যা: ১৫ + ১২ + ৯ + ৬ + ৩ = ৪৫, তবে ১৫ + ১২ + ৯ + ৩ + ০ = ৩৯। পদসংখ্যা ৫টি।


৭৬. ৩ + ৬ + ৯ + ... ধারার n পদের সমষ্টি ৩১৫ হলে n = ? ক. ১৩ খ. ১৪ গ. ১৫ ঘ. ১৬ | উত্তর: খ | ব্যাখ্যা: 3n(n+1)/2 = 315 ⇒ n(n+1) = 210 ⇒ 14×15=210. n=14.


৭৭. কোন ধারার n পদের সমষ্টি Sₙ = n² হলে, ধারাটির ১ম পদ কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: ক | ব্যাখ্যা: S₁ = ১² = ১।


৭৮. Sₙ = n² হলে, ধারাটির ২য় পদ কত? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: খ | ব্যাখ্যা: S₂ = ২² = ৪। ২য় পদ = S₂ - S₁ = ৪ - ১ = ৩।


৭৯. একটি খুঁটিতে প্রথম বানর ১ মিনিটে ওঠে ৩ মিটার, পরের মিনিটে ১ মিটার নামে। এভাবে বাঁশটি সমান্তর ধারায় উঠে। যদি বাঁশটি ১৫ মিটার হয়, কত মিনিট লাগবে? ক. ১২ খ. ১৩ গ. ১৪ ঘ. ১৫ | উত্তর: খ | ব্যাখ্যা: ২ মিনিটে ওঠে ২ মি.। শেষ ৩ মি. উঠতে ১ মিনিট লাগবে নামবে না। বাকি ১২ মি. উঠতে ১২ মিনিট। মোট ১৩ মিনিট।


৮০. ১-১০ পর্যন্ত সংখ্যাগুলোর বর্গের সমষ্টি কত? ক. ৩৮৫ খ. ৪০০ গ. ৪২৫ ঘ. ৪৫০ | উত্তর: ক | ব্যাখ্যা: n(n+1)(2n+1)/6 = ১০×১১×২১ / ৬ = ৩৮৫।
পর্ব ৩: গুণোত্তর ধারা (Geometric Progression - GP) বেসিক
৮১. গুণোত্তর ধারার n-তম পদের সূত্র কী? ক. a+rⁿ⁻¹ খ. arⁿ⁻¹ গ. (ar)ⁿ⁻¹ ঘ. arⁿ | উত্তর: খ | ব্যাখ্যা: a=প্রথম পদ, r=সাধারণ অনুপাত। n-তম পদ = a × rⁿ⁻¹।


