পর্ব ১: শতকরা (Percentage)
১. ১/৪ কে শতকরায় প্রকাশ করলে কত হয়? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: যেকোনো ভগ্নাংশকে শতকরায় নিতে ১০০ দ্বারা গুণ করতে হয়। (১/৪) × ১০০ = ২৫%।
১১. ক-এর বেতন খ-এর চেয়ে ২৫% বেশি। খ-এর বেতন ক-এর চেয়ে শতকরা কত কম? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: ক | ব্যাখ্যা: সূত্র: [R / (১০০+R)] × ১০০। এখানে [২৫/(১০০+২৫)] × ১০০ = (২৫/১২৫) × ১০০ = ২০%।

১২. তেলের দাম ২০% কমে গেলে, খরচ একই রাখতে তেলের ব্যবহার শতকরা কত বাড়াতে হবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: খ | ব্যাখ্যা: কমার সূত্র: [R / (১০০-R)] × ১০০। [২০/(১০০-২০)] × ১০০ = (২০/৮০) × ১০০ = ২৫%।

১৩. চিনির মূল্য ২০% বৃদ্ধি পেল। চিনির ব্যবহার শতকরা কত কমালে পরিবারের খরচ একই থাকবে? ক. ১৬.৬৭% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: ক | ব্যাখ্যা: বৃদ্ধির সূত্র: [২০/(১০০+২০)] × ১০০ = (২০/১২০) × ১০০ = ১/৬ × ১০০ = ১৬.৬৭%।

১৪. একটি আয়তক্ষেত্রের দৈর্ঘ্য ২০% বৃদ্ধি ও প্রস্থ ১০% হ্রাস পেলে ক্ষেত্রফলের কী পরিবর্তন হবে? ক. ৮% বৃদ্ধি খ. ৮% হ্রাস গ. ১০% বৃদ্ধি ঘ. ১২% হ্রাস | উত্তর: ক | ব্যাখ্যা: সমতুল্য সূত্র: A+B+(AB/100)। ২০ - ১০ - (২০×১০)/১০০ = ১০ - ২ = ৮% বৃদ্ধি।

১৫. কোনো জিনিসের দাম প্রথমে ২০% বাড়ানো হলো, পরে আবার ২০% কমানো হলো। মোট দামের কী পরিবর্তন হলো? ক. অপরিবর্তিত খ. ৪% হ্রাস গ. ৪% বৃদ্ধি ঘ. ৮% হ্রাস | উত্তর: খ | ব্যাখ্যা: একই হারে বৃদ্ধি ও হ্রাসের ক্ষেত্রে সবসময় ক্ষতি/হ্রাস হয়। সূত্র: (R²/100)% = (20²/100)% = 4% হ্রাস।

১৬. একটি বৃত্তের ব্যাসার্ধ ১০% বৃদ্ধি পেলে ক্ষেত্রফল শতকরা কত বৃদ্ধি পাবে? ক. ১০% খ. ২০% গ. ২১% ঘ. ১০০% | উত্তর: গ | ব্যাখ্যা: ক্ষেত্রফল দ্বিমাত্রিক। তাই ১০% দুবার বাড়বে। ১০ + ১০ + (১০×১০)/১০০ = ২১%।

১৭. একটি বর্গের বাহুর দৈর্ঘ্য ৫০% কমে গেলে ক্ষেত্রফল শতকরা কত কমবে? ক. ৫০% খ. ৭৫% গ. ১০০% ঘ. ১২৫% | উত্তর: খ | ব্যাখ্যা: -৫০ - ৫০ + (৫০×৫০)/১০০ = -১০০ + ২৫ = -৭৫% (অর্থাৎ ৭৫% হ্রাস)।

১৮. কোনো পরীক্ষায় পাস মার্ক ৪০%। একজন ছাত্র ১২০ নম্বর পেয়ে ২০ নম্বরের জন্য ফেল করল। পরীক্ষায় মোট নম্বর কত? ক. ৩০০ খ. ৩৫০ গ. ৪০০ ঘ. ৫০০ | উত্তর: খ | ব্যাখ্যা: পাস করতে মোট নম্বর লাগে ১২০+২০ = ১৪০। শর্তমতে, ৪০% = ১৪০। ১০০% = (১৪০/৪০) × ১০০ = ৩৫০।

১৯. এক ব্যক্তির বেতন প্রথমে ১০% কমানো হলো, এরপর ১০% বাড়ানো হলো। তার শতকরা কত ক্ষতি হলো? ক. ১% খ. ২% গ. শূন্য ঘ. ১০% | উত্তর: ক | ব্যাখ্যা: (১০²/১০০)% = ১% ক্ষতি।

২০. কোনো সংখ্যার ৬০% থেকে ৬০ বিয়োগ করলে বিয়োগফল ৬০ হয়। সংখ্যাটি কত? ক. ১০০ খ. ১২০ গ. ১৫০ ঘ. ২০০ | উত্তর: ঘ | ব্যাখ্যা: x এর 60% - 60 = 60 ⇒ x এর 60% = 120 ⇒ x = (120/60) × 100 = 200।

২১. কোনো পরীক্ষায় বাংলায় ৪০% এবং ইংরেজিতে ৩০% পরীক্ষার্থী ফেল করেছে। উভয় বিষয়ে ২০% ফেল করলে, উভয় বিষয়ে শতকরা কতজন পাস করেছে? ক. ২০% খ. ৩০% গ. ৫০% ঘ. ৬০% | উত্তর: গ | ব্যাখ্যা: যেকোনো এক বা উভয় বিষয়ে ফেল = ৪০+৩০-২০ = ৫০%। তাহলে উভয় বিষয়ে পাস = ১০০ - ৫০ = ৫০%।

২২. একটি পরীক্ষায় ৭০% ছাত্র গণিতে এবং ৮০% ছাত্র বাংলায় পাস করল। উভয় বিষয়ে ১০% ফেল করলে, উভয় বিষয়ে পাসের হার কত? ক. ৪০% খ. ৫০% গ. ৬০% ঘ. ৭০% | উত্তর: গ | ব্যাখ্যা: মোট পাস = ১০০ - ১০ = ৯০%। ধরি উভয় বিষয়ে পাস x%। সূত্র: ৭০+৮০-x = ৯০ ⇒ ১৫০-x = ৯০ ⇒ x = ৬০%।

২৩. ৭০ জন শিক্ষার্থীর মধ্যে ৩০ জন ক্রিকেট, ৫০ জন ফুটবল পছন্দ করে এবং ১০ জন কোনোটিই পছন্দ করে না। কতজন উভয়টি পছন্দ করে? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: পছন্দকারী = ৭০-১০ = ৬০ জন। উভয়টি = (৩০+৫০) - ৬০ = ২০ জন।

২৪. একটি পরীক্ষায় ৪০% ছাত্র ইংরেজিতে পাস করে। যদি মোট ফেল ৮০ জন হয় এবং উভয় বিষয়ে কেউ ফেল না করে, তবে মোট পরীক্ষার্থী কত? ক. ১২০ খ. ১৩৩.৩৩ গ. ১৪৫ ঘ. ২০০ | উত্তর: খ | ব্যাখ্যা: ইংরেজিতে ফেল ১০০% - ৪০% = ৬০%। ৬০% = ৮০ জন। ১০০% = (৮০/৬০)×১০০ = ১৩৩.৩৩ জন।

২৫. ৫০% ছাত্র বিজ্ঞানে এবং ৪০% ছাত্র কলায় পড়ে। ২০% উভয় বিষয় পড়লে, শতকরা কতজন কোনো বিষয়ই পড়ে না? ক. ১০% খ. ২০% গ. ৩০% ঘ. ৪০% | উত্তর: গ | ব্যাখ্যা: অন্তত একটি বিষয় পড়ে = ৫০+৪০-২০ = ৭০%। কোনোটিই পড়ে না = ১০০-৭০ = ৩০%।

২৬. এক শ্রেণিতে ৬০% ছাত্র পাস করল। ফেল করা ছাত্রের সংখ্যা ৪০ হলে মোট ছাত্র কত? ক. ১০০ খ. ১২০ গ. ১৫০ ঘ. ২০০ | উত্তর: ক | ব্যাখ্যা: পাস ৬০%, সুতরাং ফেল ৪০%। ৪০% = ৪০ জন। ১০০% = ১০০ জন।

২৭. কোনো পরীক্ষায় ৮০% ছাত্র গণিতে পাস করে। যদি ১২০ জন ছাত্র ফেল করে, তবে মোট ছাত্র কত? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ৮০০ | উত্তর: গ | ব্যাখ্যা: ফেলের হার = ১০০% - ৮০% = ২০%। ২০% = ১২০ হলে, ১০০% = (১২০/২০) × ১০০ = ৬০০।

২৮. একটি পরীক্ষায় মোট পরীক্ষার্থীর ২৫% ইংরেজিতে ফেল করে। ইংরেজিতে পাস করাদের সংখ্যা ৪৫০ হলে, মোট পরীক্ষার্থী কত? ক. ৫০০ খ. ৬০০ গ. ৭০০ ঘ. ৮০০ | উত্তর: খ | ব্যাখ্যা: ইংরেজিতে পাস করে ৭৫%। ৭৫% = ৪৫০। ১০০% = (৪৫০/৭৫) × ১০০ = ৬০০।

২৯. ৪০% লোক চা খায়, ৫০% লোক কফি খায় এবং ১০% লোক উভয়টি খায়। কত শতাংশ লোক কোনটিই খায় না? ক. ১০% খ. ২০% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: পনকারী = ৪০+৫০-১০ = ৮০%। কোনটিই খায় না = ১০০ - ৮০ = ২০%।

৩০. ২০% ছাত্র বাংলায় ফেল করে, ৩০% ইংরেজিতে ফেল করে। উভয় বিষয়ে ১৫% ফেল করলে, শুধু বাংলায় কতজন ফেল করে? ক. ৫% খ. ১০% গ. ১৫% ঘ. ২০% | উত্তর: ক | ব্যাখ্যা: শুধু বাংলায় ফেল = (মোট বাংলায় ফেল) - (উভয় বিষয়ে ফেল) = ২০% - ১৫% = ৫%।

৩১. একটি নির্বাচনে ২ জন প্রার্থীর মধ্যে বিজয়ী প্রার্থী মোট ভোটের ৬০% পেয়ে ১২০ ভোটে জয়লাভ করেন। মোট ভোটারের সংখ্যা কত? ক. ৫০০ খ. ৬০০ গ. ৭০০ ঘ. ৮০০ | উত্তর: খ | ব্যাখ্যা: বিজয়ী পান ৬০%, বিজিত পান ৪০%। ভোটের পার্থক্য = ২০%। ২০% = ১২০ হলে, ১০০% = ৬০০।

৩২. একটি নির্বাচনে ২০% ভোট বাতিল হয়। বিজয়ী প্রার্থী বৈধ ভোটের ৬০% পান। মোট ভোট ১০০০ হলে বিজয়ী কত ভোট পান? ক. ৪০০ খ. ৪৮০ গ. ৬০০ ঘ. ৮০০ | উত্তর: খ | ব্যাখ্যা: বৈধ ভোট = ১০০০ এর ৮০% = ৮০০। বিজয়ী পান ৮০০ এর ৬০% = ৪৮০ ভোট।

৩৩. একটি শহরের বর্তমান জনসংখ্যা ১০,০০০। বার্ষিক ৫% হারে জনসংখ্যা বৃদ্ধি পেলে ২ বছর পর জনসংখ্যা কত হবে? ক. ১১০০০ খ. ১১০২৫ গ. ১১৫০০ ঘ. ১২০০০ | উত্তর: খ | ব্যাখ্যা: চক্রবৃদ্ধি সূত্র: ১০,০০০ × ১.০৫ × ১.০৫ = ১১,০২৫।

৩৪. একটি মেশিনের মূল্য প্রতি বছর ১০% হারে হ্রাস পায়। বর্তমান মূল্য ৮১০০ টাকা হলে ২ বছর আগে মূল্য কত ছিল? ক. ৯০০০ খ. ১০০০০ গ. ১১০০০ ঘ. ১২০০০ | উত্তর: খ | ব্যাখ্যা: আগের মূল্য x ধরলে, x × ০.৯ × ০.৯ = ৮১০০ ⇒ x × ০.৮১ = ৮১০০ ⇒ x = ১০,০০০।

৩৫. একটি শহরের জনসংখ্যা প্রথম বছর ১০% বৃদ্ধি পায় এবং দ্বিতীয় বছর ১০% হ্রাস পায়। মোটের ওপর জনসংখ্যার কী পরিবর্তন হবে? ক. অপরিবর্তিত খ. ১% হ্রাস গ. ১% বৃদ্ধি ঘ. ১০% হ্রাস | উত্তর: খ | ব্যাখ্যা: x% বৃদ্ধি ও x% হ্রাসে সবসময় (x²/100)% হ্রাস হয়। (১০²/১০০)% = ১% হ্রাস।

৩৬. একটি নির্বাচনে বিজয়ী প্রার্থী ৫২% ভোট পেয়ে প্রতিদ্বন্দী থেকে ১০০ ভোট বেশি পান। বিজিত প্রার্থী কত ভোট পেয়েছেন? ক. ১১০০ খ. ১২০০ গ. ১৩০০ ঘ. ২৫০০ | উত্তর: খ | ব্যাখ্যা: বিজয়ী ৫২%, বিজিত ৪৮%। পার্থক্য ৪% = ১০০। বিজিতের ভোট ৪৮% = (১০০/৪) × ৪৮ = ১২০০।

৩৭. একটি গাছের উচ্চতা প্রতি বছর ২০% বৃদ্ধি পায়। বর্তমান উচ্চতা ১৪৪ সেমি হলে, ২ বছর আগে কত ছিল? ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১৩০ | উত্তর: ক | ব্যাখ্যা: ধরি x। x × ১.২ × ১.২ = ১৪৪ ⇒ ১.৪৪x = ১৪৪ ⇒ x = ১০০ সেমি।

৩৮. একটি গ্রামে ২৫% লোক শিক্ষিত। অশিক্ষিত লোকের সংখ্যা ৪৫০০ হলে, শিক্ষিত লোকের সংখ্যা কত? ক. ১০০০ খ. ১২০০ গ. ১৫০০ ঘ. ২৫০০ | উত্তর: গ | ব্যাখ্যা: অশিক্ষিত ৭৫% = ৪৫০০। ১% = ৬০। শিক্ষিত ২৫% = ২৫ × ৬০ = ১৫০০।

৩৯. এক ব্যক্তি তার আয়ের ২০% বাড়ি ভাড়ায় এবং বাকি টাকার ৭০% সংসারে খরচ করেন। তার সঞ্চয় ৩৬০০ টাকা হলে মোট আয় কত? ক. ১০০০০ খ. ১২০০০ গ. ১৫০০০ ঘ. ১৮০০০ | উত্তর: গ | ব্যাখ্যা: ১০০ এর ২০ গেলে থাকে ৮০। ৮০ এর ৭০% = ৫৬। মোট খরচ ২০+৫৬=৭৬। সঞ্চয় ২৪%। ২৪% = ৩৬০০ হলে, ১০০% = ১৫,০০০।

৪০. কোনো নির্বাচনে ৩০% ভোটার ভোটদানে বিরত থাকে। প্রদত্ত ভোটের ৬০% পেয়ে বিজয়ী প্রার্থী ৯০০ ভোটের ব্যবধানে জয়ী হন। মোট ভোটার কত? ক. ৫০০০ খ. ৭৫০০ গ. ১০০০০ ঘ. ১২৫০০ | উত্তর: খ | ব্যাখ্যা: প্রদত্ত ভোটের পার্থক্য ৬০%-৪০% = ২০%। ২০% = ৯০০ হলে প্রদত্ত ভোট ১০০% = ৪৫০০। মোট ভোটারের ৭০% = ৪৫০০, তাই ১০০% = ৭৫০০।

৪১. ৫/৮ কে শতকরায় প্রকাশ করলে কত হয়? ক. ৫০.৫% খ. ৬০% গ. ৬২.৫% ঘ. ৬৫% | উত্তর: গ | ব্যাখ্যা: (৫/৮) × ১০০ = ৫০০০/৮ = ৬২.৫%।

৪২. ৩০ টাকার শতকরা কত অংশ ৫ টাকা? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: (৫/৩০) × ১০০ = ১৬.৬৭%।

৪৩. চিনির মূল্য ২০% কমলে খরচ অপরিবর্তিত রাখতে হলে ব্যবহার কত বাড়াতে হবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৩৩.৩৩% | উত্তর: খ | ব্যাখ্যা: [২০/(১০০-২০)] × ১০০ = (২০/৮০) × ১০০ = ২৫%।

৪৪. কোনো সংখ্যার ৪০% এর সাথে ৪২ যোগ করলে যোগফল সংখ্যাটি নিজেই হয়। সংখ্যাটি কত? ক. ৬০ খ. ৭০ গ. ৮০ ঘ. ৯০ | উত্তর: খ | ব্যাখ্যা: সংখ্যাটি ১০০%। ৪০% + ৪২ = ১০০%। সুতরাং ৬০% = ৪২। ১০০% = (৪২/৬০)×১০০ = ৭০।

৪৫. ২/৫ এবং ৩০% এর মধ্যে কোনটি বড়? ক. ২/৫ খ. ৩০% গ. সমান ঘ. বলা অসম্ভব | উত্তর: ক | ব্যাখ্যা: ২/৫ = (২/৫)×১০০ = ৪০%। ৪০% > ৩০%, তাই ২/৫ বড়।

৪৬. x এর মান y এর চেয়ে ২৫% বেশি হলে, y এর মান x এর চেয়ে শতকরা কত কম? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: ক | ব্যাখ্যা: [২৫/(১০০+২৫)] × ১০০ = ২০%।

৪৭. একটি বক্সে ৪০% লাল মার্বেল এবং ৬০% নীল মার্বেল আছে। লাল মার্বেলের সংখ্যা ২০ হলে নীল মার্বেলের সংখ্যা কত? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: ৪০% = ২০ হলে, ১% = ০.৫। ৬০% = ৬০ × ০.৫ = ৩০।

৪৮. ১২০ টাকার ২৫% এর সমান কত টাকার ১২%? ক. ২৫০ খ. ৩০০ গ. ৩৫০ ঘ. ৪০০ | উত্তর: ক | ব্যাখ্যা: ১২০ এর ২৫% = ৩০। ধরি x এর ১২% = ৩০। x = (৩০/১২)×১০০ = ২৫০।

৪৯. একটি সংখ্যার ১৫% যদি ৩০ হয়, তবে সংখ্যাটির ২০% কত? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: ১৫% = ৩০ (অর্থাৎ দ্বিগুণ)। তাহলে ২০% এর দ্বিগুণ = ৪০।

৫০. ১ লিটার পানির ওজন ১ কেজি। ওই পানির শতকরা কত ভাগ ওজন? ক. ১% খ. ১০% গ. ১০০% ঘ. ০% | উত্তর: গ | ব্যাখ্যা: ১ কেজি পানির ওজন ১ কেজিই, অর্থাৎ এটি সম্পূর্ণ অংশের সমান, যা ১০০% নির্দেশ করে।
পর্ব ২: লাভ-ক্ষতি (Profit & Loss)
৫১. একটি জিনিস ১০০ টাকায় কিনে ১২০ টাকায় বিক্রয় করলে শতকরা কত লাভ হবে? ক. ১০% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: লাভ = ১২০ - ১০০ = ২০ টাকা। শতকরা লাভ = (লাভ/ক্রয়মূল্য) × ১০০ = (২০/১০০) × ১০০ = ২০%।

৫২. ৪০০ টাকার একটি বই ৩০০ টাকায় বিক্রয় করলে শতকরা কত ক্ষতি হবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: ক্ষতি = ৪০০ - ৩০০ = ১০০ টাকা। শতকরা ক্ষতি = (১০০/৪০০) × ১০০ = ২৫%।

৫৩. একটি ঘড়ি ৫৪০ টাকায় বিক্রয় করায় ১০% ক্ষতি হলো। ঘড়িটির ক্রয়মূল্য কত? ক. ৫০০ খ. ৫৫০ গ. ৬০০ ঘ. ৬৫০ | উত্তর: গ | ব্যাখ্যা: ১০% ক্ষতিতে বিক্রয়মূল্য ৯০%। ৯০% = ৫৪০। ১০০% (ক্রয়মূল্য) = (৫৪০/৯০) × ১০০ = ৬০০ টাকা।

৫৪. ক্রয়মূল্য বিক্রয়মূল্যের ৪/৫ অংশ হলে শতকরা লাভ কত? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: ধরি বিক্রয়মূল্য ৫ টাকা, তাহলে ক্রয়মূল্য ৪ টাকা। লাভ ১ টাকা। শতকরা লাভ = (১/৪) × ১০০ = ২৫%।

৫৫. ক্রয়মূল্য ও বিক্রয়মূল্যের অনুপাত ৫:৬ হলে শতকরা লাভ কত? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: ক্রয় ৫ টাকা, বিক্রয় ৬ টাকা। লাভ ১ টাকা। লাভ% = (১/৫) × ১০০ = ২০%।

৫৬. বিক্রয়মূল্য ক্রয়মূল্যের দ্বিগুণ হলে শতকরা লাভ কত? ক. ৫০% খ. ১০০% গ. ২০০% ঘ. ৩০০% | উত্তর: খ | ব্যাখ্যা: ক্রয় ১০০ হলে বিক্রয় ২০০। লাভ ১০০। লাভ% = (১০০/১০০) × ১০০ = ১০০%।

৫৭. একটি ছাগল ১০% ক্ষতিতে বিক্রয় করা হলো। বিক্রয়মূল্য ৪৫ টাকা বেশি হলে ৫% লাভ হতো। ছাগলটির ক্রয়মূল্য কত? ক. ৩০০ খ. ৪০০ গ. ৪৫০ ঘ. ৫০০ | উত্তর: ক | ব্যাখ্যা: ১০% ক্ষতি এবং ৫% লাভের পার্থক্য = ১৫%। ১৫% = ৪৫ টাকা। ১০০% = (৪৫/১৫) × ১০০ = ৩০০ টাকা।

৫৮. একটি দ্রব্য ২০% লাভে বিক্রয় করা হলো। যদি ক্রয়মূল্য ও বিক্রয়মূল্য উভয়ই ১০ টাকা কম হতো, তবে লাভ ৫% বেশি হতো। দ্রব্যটির ক্রয়মূল্য কত? ক. ৪০ খ. ৫০ গ. ৬০ ঘ. ৭০ | উত্তর: খ | ব্যাখ্যা: অপশন টেস্ট করুন: ৫০ টাকার ২০% লাভ = ৬০ টাকা। উভয় থেকে ১০ কমালে ক্রয় ৪০, বিক্রয় ৫০। লাভ ১০। ৪০ এর ওপর ১০ লাভ মানে ২৫% লাভ। আগে ছিল ২০%, এখন ২৫% (৫% বেশি)। তাই ৫০ সঠিক।

৫৯. কোনো দ্রব্য ২০০ টাকায় বিক্রয় করায় ২০% ক্ষতি হয়। দ্রব্যটি কত টাকায় বিক্রয় করলে ২০% লাভ হবে? ক. ২৫০ খ. ২৮০ গ. ৩০০ ঘ. ৩২০ | উত্তর: গ | ব্যাখ্যা: ৮০% = ২০০ টাকা। ১২০% = (২০০/৮০) × ১২০ = ৩০০ টাকা।

৬০. ২৫০ টাকায় একটি টেবিল কিনে কত টাকায় বিক্রয় করলে ২৫% লাভ হবে? ক. ৩১০ খ. ৩১২.৫ গ. ৩২০ ঘ. ৩২৫ | উত্তর: খ | ব্যাখ্যা: ২৫০ এর ১২৫% = ২৫০ × ১.২৫ = ৩১২.৫ টাকা।

৬১. ১০ টাকায় ১২টি লেবু কিনে, ১০ টাকায় ১০টি লেবু বিক্রয় করলে শতকরা কত লাভ হবে? ক. ১০% খ. ১৫% গ. ২০% ঘ. ২৫% | উত্তর: গ | ব্যাখ্যা: টাকা সমান থাকলে সূত্র: (কেনার সংখ্যা - বিক্রির সংখ্যা) / বিক্রির সংখ্যা × ১০০। (১২ - ১০) / ১০ × ১০০ = ২০%।

৬২. টাকায় ৫টি দরে লেবু কিনে টাকায় ৪টি দরে বিক্রয় করলে শতকরা কত লাভ হবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: (৫-৪)/৪ × ১০০ = ১/৪ × ১০০ = ২৫%।

৬৩. ৫ টাকায় ৬টি দরে কিনে, ৬ টাকায় ৫টি দরে বিক্রয় করলে শতকরা কত লাভ হবে? ক. ৩০% খ. ৩৩.৩৩% গ. ৪০% ঘ. ৪৪% | উত্তর: ঘ | ব্যাখ্যা: আড়াআড়ি গুণ: ক্রয়মূল্য অংশ (৫×৫=২৫), বিক্রয়মূল্য অংশ (৬×৬=৩৬)। লাভ = ৩৬-২৫=১১। শতকরা লাভ = (১১/২৫) × ১০০ = ৪৪%।

৬৪. ৪ টাকায় ৫টি কিনে ৫ টাকায় ৪টি বিক্রয় করলে শতকরা লাভ কত? ক. ৫০.২৫% খ. ৫৬.২৫% গ. ৬০% ঘ. ৬২.৫% | উত্তর: খ | ব্যাখ্যা: ক্রয়=৪×৪=১৬, বিক্রয়=৫×৫=২৫। লাভ=৯। লাভ% = (৯/১৬) × ১০০ = ৫৬.২৫%।

৬৫. টাকায় ৩টি করে আম কিনে টাকায় ২টি করে বিক্রয় করলে শতকরা কত লাভ হবে? ক. ২০% খ. ৩৩.৩৩% গ. ৫০% ঘ. ১০০% | উত্তর: গ | ব্যাখ্যা: (৩-২)/২ × ১০০ = ৫০%।

৬৬. ১০ টাকায় ১২টি কিনে ১২ টাকায় ১০টি বিক্রয় করলে শতকরা লাভ কত? ক. ২০% খ. ৩০% গ. ৪০% ঘ. ৪৪% | উত্তর: ঘ | ব্যাখ্যা: ক্রয়মূল্য=১০×১০=১০০, বিক্রয়মূল্য=১২×১২=১৪৪। লাভ% = (১৪৪-১০০)/১০০ × ১০০ = ৪৪%।

৬৭. টাকায় ৬টি কিনে টাকায় কয়টি বিক্রয় করলে ২০% লাভ হবে? ক. ৩টি খ. ৪টি গ. ৫টি ঘ. ৬টি | উত্তর: গ | ব্যাখ্যা: ২০% লাভে বিক্রয়মূল্য ১২০%। ১০০% = ৬টি, তাহলে ১২০% এ বিক্রয় করতে হবে = (১০০/১২০) × ৬ = ৫টি।

৬৮. ২০ টাকায় ১২টি কিনে, ২০ টাকায় ১৫টি বিক্রয় করলে শতকরা কত ক্ষতি হবে? ক. ১০% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: (কেনার সংখ্যা - বিক্রির সংখ্যা) / বিক্রির সংখ্যা × ১০০ = (১২-১৫)/১৫ × ১০০ = -৩/১৫ × ১০০ = -২০% (অর্থাৎ ২০% ক্ষতি)।

