পর্ব ১: অনুপাত ও সমানুপাত (Ratio & Proportion)
১. ক:খ = ৩:৪ এবং খ:গ = ৫:৬ হলে, ক:খ:গ = কত? ক. ১৫:২০:২৪ খ. ১৫:২৪:২০ গ. ১২:১৫:২০ ঘ. ৯:১২:১৮ | উত্তর: ক | ব্যাখ্যা: 'দ' পদ্ধতি ব্যবহার করুন। ৩×৫=১৫, ৪×৫=২০, ৪×৬=২৪। সুতরাং ১৫:২০:২৪।
৯. দুটি সংখ্যার অনুপাত ৩:৪ এবং তাদের যোগফল ৪২০ হলে ছোট সংখ্যাটি কত? ক. ১৪০ খ. ১৮০ গ. ২৪০ ঘ. ৩০০ | উত্তর: খ | ব্যাখ্যা: মোট ৭ অংশ = ৪২০। ১ অংশ = ৬০। ছোট সংখ্যা ৩ অংশ = ৩×৬০ = ১৮০।






১০. ৯৬ টাকাকে ২:৩:৭ অনুপাতে ভাগ করলে বৃহত্তম ভাগটি কত হবে? ক. ৪৮ খ. ৫৬ গ. ৬৪ ঘ. ৭২ | উত্তর: খ | ব্যাখ্যা: মোট ২+৩+৭ = ১২ অংশ। ১২ অংশ = ৯৬ টাকা। ১ অংশ = ৮। বৃহত্তম ৭ অংশ = ৭×৮ = ৫৬ টাকা।






১১. একটি ত্রিভুজের তিনটি কোণের অনুপাত ২:৩:৪। বৃহত্তম কোণটির মান কত? ক. ৪০° খ. ৬০° গ. ৮০° ঘ. ১০০° | উত্তর: গ | ব্যাখ্যা: মোট ২+৩+৪ = ৯ অংশ। ৯ অংশ = ১৮০°। ১ অংশ = ২০°। বৃহত্তম ৪ অংশ = ৪×২০° = ৮০°।






১২. ৭:১১ অনুপাতের উভয় পদের সাথে কত যোগ করলে নতুন অনুপাত ৩:৪ হবে? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: ঘ | ব্যাখ্যা: অপশন টেস্ট। ৭+৫ = ১২ এবং ১১+৫ = ১৬। ১২:১৬ = ৩:৪। উত্তর ৫।






১৩. ১৫:১৯ অনুপাতের উভয় পদ থেকে কত বিয়োগ করলে নতুন অনুপাত ৩:৪ হবে? ক. ২ খ.৩ গ. ৪ ঘ. ৫ | উত্তর: খ | ব্যাখ্যা: (১৫-x)/(১৯-x) = ৩/৪ ⇒ ৬০ - ৪x = ৫৭ - ৩x ⇒ x = ৩।






১৪. দুটি সংখ্যার অনুপাত ৩:৫। প্রতিটি সংখ্যার সাথে ১০ যোগ করলে নতুন অনুপাত ৫:৭ হয়। সংখ্যা দুটি কী কী? ক. ৯, ১৫ খ. ১২, ২০ গ. ১৫, ২৫ ঘ. ১৮, ৩০ | উত্তর: গ | ব্যাখ্যা: ৩ অংশ থেকে ৫ অংশ (বৃদ্ধি ২), ৫ অংশ থেকে ৭ অংশ (বৃদ্ধি ২)। ২ অংশ = ১০। ১ অংশ = ৫। সংখ্যা দুটি ৩×৫=১৫, ৫×৫=২৫।






১৫. দুটি সংখ্যার অনুপাত ৭:৯। প্রতিটি সংখ্যা থেকে ১২ বিয়োগ করলে নতুন অনুপাত হয় ৫:৭। সংখ্যা দুটির যোগফল কত? ক. ৪২ খ. ৫৪ গ. ৯৬ ঘ. ১০৬ | উত্তর: গ | ব্যাখ্যা: অনুপাতের পার্থক্য ২ অংশ = ১২। ১ অংশ = ৬। সংখ্যা দুটির যোগফল (৭+৯)=১৬ অংশ। ১৬×৬ = ৯৬।






১৬. একটি বাক্সে ১ টাকা, ৫০ পয়সা এবং ২৫ পয়সার মুদ্রার অনুপাত ২:৩:৪। বাক্সে মোট ১৮০ টাকা থাকলে ৫০ পয়সার মুদ্রা কয়টি? ক. ৬০ খ. ৯০ গ. ১২০ ঘ. ১৫০ | উত্তর: গ | ব্যাখ্যা: মূল্যের অনুপাত: (২×১) : (৩×০.৫০) : (৪×০.২৫) = ২ : ১.৫ : ১। মোট ৪.৫ অংশ = ১৮০ টাকা। ১ অংশ = ৪০ টাকা। ৫০ পয়সার মোট মূল্য ১.৫×৪০ = ৬০ টাকা। মুদ্রা সংখ্যা = ৬০×২ = ১২০টি।






১৭. একটি ব্যাগে ১ টাকা, ৫০ পয়সা ও ২৫ পয়সার মুদ্রার সংখ্যার অনুপাত ৫:৬:৮। মোট মূল্য ২১০ টাকা হলে ১ টাকার মুদ্রা কয়টি? ক. ১০৫ খ. ১২০ গ. ১৫০ ঘ. ২০০ | উত্তর: ক | ব্যাখ্যা: মূল্যের অনুপাত ৫x : 3x : 2x (যেহেতু ৬টি ৫০ পয়সায় ৩ টাকা এবং ৮টি ২৫ পয়সায় ২ টাকা হয়)। মোট 10x = 210 ⇒ x = 21। ১ টাকার মুদ্রা 5x = ৫×২১ = ১০৫টি।






১৮. দুটি সংখ্যার অনুপাত ২:৩ এবং তাদের গ.সা.গু ৪ হলে, সংখ্যা দুটির যোগফল কত? ক. ১২ খ. ১৬ গ. ২০ ঘ. ২৪ | উত্তর: গ | ব্যাখ্যা: সংখ্যা দুটি ২×৪=৮ এবং ৩×৪=১২। যোগফল ৮+১২ = ২০।






১৯. ক, খ ও গ এর বেতনের অনুপাত ৩:৪:৫। গ এর বেতন ক এর চেয়ে ১০০০ টাকা বেশি হলে খ এর বেতন কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০০ | উত্তর: খ | ব্যাখ্যা: গ এবং ক এর পার্থক্য (৫-৩) = ২ অংশ। ২ অংশ = ১০০০। ১ অংশ = ৫০০। খ এর বেতন ৪ অংশ = ৪×৫০০ = ২০০০ টাকা।






২০. একটি জগে দুধ ও পানির অনুপাত ৫:১। ওই জগে আর ৮ লিটার পানি মেশালে অনুপাত ৫:৩ হয়। জগে দুধের পরিমাণ কত? ক. ২০ লিটার খ. ২৫ লিটার গ. ৩০ লিটার ঘ. ৩৫ লিটার | উত্তর: ক | ব্যাখ্যা: পানির অনুপাত ১ থেকে ৩ হলো (বৃদ্ধি ২ অংশ)। ২ অংশ = ৮ লিটার। ১ অংশ = ৪ লিটার। দুধ ৫ অংশ = ৫×৪ = ২০ লিটার।






২১. ৬০ লিটার মিশ্রণে সিরাপ ও পানির অনুপাত ৭:৩। ওই মিশ্রণে আর কত লিটার পানি মেশালে অনুপাত ৩:৭ হবে? ক. ৪০ খ. ৬০ গ. ৮০ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: ৭+৩=১০ অংশ = ৬০। ১ অংশ = ৬। সিরাপ ৪২, পানি ১৮। ৪২/(১৮+x) = ৩/৭ ⇒ ৫৪+৩x = ২৯৪ ⇒ ৩x = ২৪০ ⇒ x = ৮০। (শর্টকাট: পরিমাণের পার্থক্য/ছোট অনুপাত × মোট মিশ্রণ = (৭-৩)/৩ × ৬০ = ৮০)।






২২. ৩০ লিটার মিশ্রণে এসিড ও পানির অনুপাত ৭:৩। ওই মিশ্রণে কী পরিমাণ পানি মেশালে অনুপাত ৩:৭ হবে? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: গ | ব্যাখ্যা: শর্টকাট: (৭-৩)/৩ × ৩০ = ৪০ লিটার।






২৩. একটি মিশ্রণে তামা, দস্তা ও রূপার অনুপাত ৩:২:১। মিশ্রণে দস্তা ১০ কেজি হলে মোট মিশ্রণের পরিমাণ কত? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: ২ অংশ = ১০ কেজি। ১ অংশ = ৫। মোট (৩+২+১)=৬ অংশ। ৬×৫ = ৩০ কেজি।






২৪. ক ও খ এর আয়ের অনুপাত ৪:৩ এবং ব্যয়ের অনুপাত ৩:২। প্রত্যেকে ৬০০ টাকা সঞ্চয় করলে ক এর আয় কত? ক. ১৮০০ খ. ২৪০০ গ. ৩০০০ ঘ. ৩৬০০ | উত্তর: খ | ব্যাখ্যা: আয় ৪ থেকে ব্যয় ৩ (সঞ্চয় ১ অংশ), খ এর আয় ৩ থেকে ব্যয় ২ (সঞ্চয় ১ অংশ)। ১ অংশ = ৬০০ টাকা। ক এর আয় ৪ অংশ = ৪×৬০০ = ২৪০০ টাকা।






২৫. দুটি সংখ্যার অনুপাত ৪:৭। সংখ্যা দুটির ল.সা.গু ৩৩৬ হলে সংখ্যা দুটির যোগফল কত? ক. ১৩০ খ. ১৩২ গ. ১৩৪ ঘ. ১৪২ | উত্তর: খ | ব্যাখ্যা: লসাগু = ৪ × ৭ × x = ২৮x। ২৮x = ৩৩৬ ⇒ x = ১২। যোগফল (৪+৭) = ১১x = ১১×১২ = ১৩২।






২৬. ক এর আয়ের ৪০% = খ এর আয়ের ৫০%। ক ও খ এর আয়ের অনুপাত কত? ক. ৪:৫ খ. ৫:৪ গ. ২:৩ ঘ. ৩:২ | উত্তর: খ | ব্যাখ্যা: ৪০ক = ৫০খ ⇒ ক/খ = ৫০/৪০ = ৫/৪। অনুপাত ৫:৪।






২৭. x:y = ২:৩ এবং y:z = ৪:৫ হলে x² : y² : yz = কত? ক. ১৬:৩৬:৪৫ খ. ৪:৯:১৫ গ. ১৬:২৪:৪৫ ঘ. ৪:৯:২০ | উত্তর: ক | ব্যাখ্যা: x:y:z = ৮:১২:১৫। x² = ৬৪, y² = ১৪৪, yz = ১৮০। ৬৪:১৪৪:১৮০ কে ৪ দিয়ে ভাগ করলে ১৬:৩৬:৪৫।






২৮. x এর ২০% = y এর ৩০% = z এর ১/৬ অংশ হলে x:y:z = কত? ক. ২:৩:৬ খ. ১৫:১০:১৮ গ. ৩:২:৫ ঘ. ১৫:১৮:১০ | উত্তর: খ | ব্যাখ্যা: x/৫ = 3y/১০ = z/৬। ধরি 1। x=5, y=10/3, z=6। অনুপাত ৫ : ১০/৩ : ৬। ৩ দিয়ে গুণ করলে ১৫:১০:১৮।






২৯. ২:৩, ৪:৫ এবং ৫:৬ এর মিশ্র (Compound) অনুপাত কত? ক. ৪:৯ খ. ৮:১৫ গ. ২:৫ ঘ. ৩:৪ | উত্তর: ক | ব্যাখ্যা: মিশ্র অনুপাত = পূর্বপদগুলোর গুণফল : উত্তরপদগুলোর গুণফল = (২×৪×৫) : (৩×৫×৬) = ৪০ : ৯০ = ৪:৯।






৩০. ক ও খ এর বর্তমান আয়ের অনুপাত ৩:৪। ক এর আয় ২০% বৃদ্ধি এবং খ এর আয় ১০% হ্রাস পেলে নতুন অনুপাত কত হবে? ক. ১:১ খ. ২:১ গ. ৫:৪ ঘ. ৩:২ | উত্তর: ক | ব্যাখ্যা: ধরি ক=৩০০, খ=৪০০। ক এর নতুন আয় ৩৬০ (২০% বৃদ্ধি)। খ এর নতুন আয় ৩৬০ (১০% হ্রাস)। অনুপাত ৩৬০:৩৬০ = ১:১।






৩১. একটি সোনার গহনার ওজন ৩২ গ্রাম। এতে সোনা ও তামার অনুপাত ৩:১। এতে কী পরিমাণ সোনা মেশালে অনুপাত ৪:১ হবে? ক. ৬ গ্রাম খ. ৮ গ্রাম গ. ১০ গ্রাম ঘ. ১২ গ্রাম | উত্তর: খ | ব্যাখ্যা: মোট ৪ অংশ = ৩২। ১ অংশ = ৮। সোনা মেশাতে হবে (৪-৩)=১ অংশ। ১ অংশ = ৮ গ্রাম।






৩২. একটি সোনার গহনার ওজন ১৬ গ্রাম। এতে সোনা ও তামার অনুপাত ৩:১। এতে কী পরিমাণ সোনা মেশালে অনুপাত ৪:১ হবে? ক. ৪ গ্রাম খ. ৬ গ্রাম গ. ৮ গ্রাম ঘ. ১০ গ্রাম | উত্তর: ক | ব্যাখ্যা: মোট ৪ অংশ = ১৬। ১ অংশ = ৪। সোনা বাড়াতে হবে ১ অংশ। ১ অংশ = ৪ গ্রাম।






৩৩. ৫:৩ অনুপাতের পূর্বপদের সাথে ২ যোগ করলে এবং পরপদ থেকে ২ বিয়োগ করলে অনুপাত ২:১ হয়। সংখ্যা দুটি কী কী? ক. ১৫, ৯ খ. ১০, ৬ গ. ২৫, ১৫ ঘ. ২০, ১২ | উত্তর: খ | ব্যাখ্যা: অপশন টেস্ট। ১০ ও ৬ ধরলে: ১০+২=১২, ৬-২=৪। ১২:৪ = ৩:১ (হলো না)। ২০, ১২ ধরলে: ২০+২=২২, ১২-২=১০। ২২:১০ (হলো না)। ১৫, ৯ ধরলে: ১৭, ৭। উত্তর ভুল আছে। প্রশ্নানুযায়ী (৫x+২)/(৩x-২) = ২/১ ⇒ ৫x+২ = ৬x-৪ ⇒ x=৬। সংখ্যা দুটি ৩০, ১৮। সঠিক অপশনটি মিসিং, তবে লজিক এটিই।






৩৪. চিনির মূল্য ২০% কমে যাওয়ায়, খরচ একই রাখতে হলে ব্যবহার কত অনুপাতে বাড়াতে হবে? ক. ৪:৫ খ. ৫:৪ গ. ১:৪ ঘ. ৫:৬ | উত্তর: খ | ব্যাখ্যা: দাম কমেছে, অর্থাৎ ১০০ থেকে ৮০ হয়েছে। ব্যবহার ৮০ থেকে ১০০ করতে হবে। অনুপাত ১০০:৮০ = ৫:৪ (নতুন:পুরাতন)।






৩৫. একটি আয়তক্ষেত্রের দৈর্ঘ্য ও প্রস্থের অনুপাত ৫:৩ এবং পরিসীমা ১৬০ মিটার। ক্ষেত্রফল কত? ক. ১২০০ খ. ১৫০০ গ. ১৬০০ ঘ. ১৮০০ | উত্তর: খ | ব্যাখ্যা: ২(৫x + ৩x) = ১৬০ ⇒ ১৬x = ১৬০ ⇒ x = ১০। দৈর্ঘ্য ৫০, প্রস্থ ৩০। ক্ষেত্রফল = ৫০×৩০ = ১৫০০ বর্গমিটার।






৩৬. দুটি বৃত্তের ব্যাসার্ধের অনুপাত ২:৩ হলে, তাদের ক্ষেত্রফলের অনুপাত কত? ক. ২:৩ খ. ৪:৯ গ. ৮:২৭ ঘ. ১৬:৮১ | উত্তর: খ | ব্যাখ্যা: ক্ষেত্রফল ব্যাসার্ধের বর্গের সমানুপাতিক। ২² : ৩² = ৪ : ৯।






৩৭. দুটি ঘনকের বাহুর অনুপাত ৩:৪ হলে তাদের আয়তনের অনুপাত কত? ক. ৯:১৬ খ. ১৬:৯ গ. ২৭:৬৪ ঘ. ৬৪:২৭ | উত্তর: গ | ব্যাখ্যা: আয়তন বাহুর ঘনের (cube) সমানুপাতিক। ৩³ : ৪³ = ২৭ : ৬৪।






৩৮. একটি সমকোণী ত্রিভুজের সূক্ষ্মকোণ দুটির অনুপাত ৪:৫ হলে ক্ষুদ্রতম কোণটির মান কত? ক. ৪০° খ. ৫০° গ. ৪৫° ঘ. ৩০° | উত্তর: ক | ব্যাখ্যা: সূক্ষ্মকোণ দুটির যোগফল ৯০°। ৯ অংশ = ৯০°। ১ অংশ = ১০°। ক্ষুদ্রতম কোণ ৪ অংশ = ৪০°।






৩৯. a:b = 1/2 : 1/3 এবং b:c = 1/5 : 1/6 হলে, a:b:c = কত? ক. ৫:৬:৯ খ. ৯:৬:৫ গ. ১৫:১০:১২ ঘ. ১৫:১২:১০ | উত্তর: খ | ব্যাখ্যা: a:b = ৩:২ (আড়াআড়ি গুণ)। b:c = ৬:৫। দ পদ্ধতিতে: (৩×৬):(২×৬):(২×৫) = ১৮:১২:১০ = ৯:৬:৫।






৪০. দুটি সংখ্যার অনুপাত ৫:৬। সংখ্যা দুটির সাথে ৪ যোগ করলে অনুপাত ৭:৮ হয়। সংখ্যা দুটি কী কী? ক. ১০, ১২ খ. ১৫, ১৮ গ. ২০, ২৪ ঘ. ২৫, ৩০ | উত্তর: ক | ব্যাখ্যা: অনুপাতের পার্থক্য (৭-৫)=২ অংশ। ২ অংশ = ৪। ১ অংশ = ২। সংখ্যা দুটি ৫×২=১০ এবং ৬×২=১২।






৪১. একটি খামারে মুরগি ও ছাগলের সংখ্যার অনুপাত ৫:২। ছাগলের চেয়ে মুরগি ১৫টি বেশি হলে মোট প্রাণী কতটি? ক. ২৫ খ. ৩৫ গ. ৪৫ ঘ. ৫৫ | উত্তর: খ | ব্যাখ্যা: পার্থক্য (৫-২) = ৩ অংশ = ১৫। ১ অংশ = ৫। মোট প্রাণী (৫+২)=৭ অংশ। ৭×৫ = ৩৫টি।






৪২. দুটি সংখ্যার বর্গের সমষ্টি ৬৮ এবং তাদের অনুপাত ১:৪। সংখ্যা দুটি কী কী? ক. ২, ৮ খ. ৩, ১২ গ. ৪, ১৬ ঘ. ১, ৪ | উত্তর: ক | ব্যাখ্যা: x² + ১৬x² = ১৭x² = ৬৮ ⇒ x² = ৪ ⇒ x = ২। সংখ্যা দুটি ২, ৮।






৪৩. ক, খ ও গ এর মধ্যে ৭০০ টাকা এমনভাবে ভাগ করা হলো যেন ক পায় খ এর অর্ধেক এবং খ পায় গ এর অর্ধেক। গ কত টাকা পাবে? ক. ১০০ খ. ২০০ গ. ৩০০ ঘ. ৪০০ | উত্তর: ঘ | ব্যাখ্যা: গ=৪x, খ=২x, ক=x। মোট ৭x = ৭০০ ⇒ x = ১০০। গ পাবে ৪x = ৪০০ টাকা।






৪৪. ৪০ লিটার দুধ ও পানির মিশ্রণে দুধ ও পানির অনুপাত ৩:১। মিশ্রণে কী পরিমাণ পানি মেশালে অনুপাত ৫:২ হবে? ক. ১ লিটার খ. ২ লিটার গ. ৩ লিটার ঘ. ৪ লিটার | উত্তর: খ | ব্যাখ্যা: মিশ্রণে দুধ ৩০, পানি ১০ লিটার। ৩০/(১০+x) = ৫/২ ⇒ ৫০+৫x = ৬০ ⇒ ৫x = ১০ ⇒ x = ২ লিটার।






৪৫. কোন মিশ্রণে তামা ও দস্তার অনুপাত ৫:৩। ওই মিশ্রণে ৫ কেজি তামা মেশালে অনুপাত হয় ৫:২। মিশ্রণে দস্তার পরিমাণ কত? ক. ১০ কেজি খ. ১২ কেজি গ. ১৫ কেজি ঘ. ১৮ কেজি | উত্তর: খ | ব্যাখ্যা: তামা মেশানো হয়েছে, তাই দস্তার পরিমাণ স্থির থাকবে। প্রাথমিক অনুপাত ৫x:৩x। (৫x+৫)/৩x = ৫/২ ⇒ ১০x+১০ = ১৫x ⇒ ৫x = ১০ ⇒ x = ২। দস্তা ৩x = ৬ কেজি। সঠিক অপশন নেই, তবে লজিক এটিই।






৪৬. একটি পাত্রে দুধ ও পানির অনুপাত ৫:২। যদি পাত্রে দুধের পরিমাণ পানি অপেক্ষা ৩ লিটার বেশি হয়, তবে পানির পরিমাণ কত? ক. ২ খ. ৪ গ. ৬ ঘ. ৮ | উত্তর: ক | ব্যাখ্যা: পার্থক্য ৩ অংশ = ৩ লিটার। ১ অংশ = ১ লিটার। পানির পরিমাণ ২ অংশ = ২ লিটার।






৪৭. একটি ত্রিভুজের পরিসীমা ৩৬ সে.মি. এবং বাহুগুলোর অনুপাত ৩:৪:৫। বৃহত্তম বাহুর দৈর্ঘ্য কত? ক. ৯ খ. ১২ গ. ১৫ ঘ. ১৮ | উত্তর: গ | ব্যাখ্যা: মোট (৩+৪+৫)=১২ অংশ = ৩৬। ১ অংশ = ৩। বৃহত্তম বাহু ৫ অংশ = ১৫ সে.মি.।






৪৮. ১৪৪ টাকা ক, খ ও গ এর মধ্যে ৩:৪:৫ অনুপাতে ভাগ করলে খ কত টাকা পাবে? ক. ৩৬ খ. ৪৮ গ. ৬০ ঘ. ৭২ | উত্তর: খ | ব্যাখ্যা: মোট ১২ অংশ = ১৪৪। ১ অংশ = ১২। খ পাবে ৪ অংশ = ৪×১২ = ৪৮ টাকা।






৪৯. দুটি গোলকের আয়তনের অনুপাত ৮:২৭ হলে তাদের পৃষ্ঠতলের ক্ষেত্রফলের অনুপাত কত? ক. ২:৩ খ. ৪:৯ গ. ১৬:৮১ ঘ. ৮:২৭ | উত্তর: খ | ব্যাখ্যা: ব্যাসার্ধের অনুপাত ∛৮ : ∛২৭ = ২:৩। ক্ষেত্রফলের অনুপাত ব্যাসার্ধের বর্গের সমানুপাতিক = ২² : ৩² = ৪:৯।






৫০. একটি ঘড়ির কাঁটা দুটির (ঘণ্টা ও মিনিট) বেগের অনুপাত কত? ক. ১:১২ খ. ১:৬০ গ. ১২:১ ঘ. ৬০:১ | উত্তর: ক | ব্যাখ্যা: ঘণ্টার কাঁটা ১২ ঘণ্টায় ১ চক্কর দেয়, মিনিটের কাঁটা ১২ ঘণ্টায় ১২ চক্কর দেয়। তাই বেগের অনুপাত ১:১২।






৫১. a, b, c ক্রমিক সমানুপাতী হলে নিচের কোনটি সঠিক? ক. ac = b² খ. ab = c² গ. a² = bc ঘ. a+c = 2b | উত্তর: ক | ব্যাখ্যা: ক্রমিক সমানুপাতী মানে a/b = b/c। আড়াআড়ি গুণ করলে b² = ac।






৫২. 'x' এর ২০% = 'y' এর ৫০% হলে x:y = কত? ক. ২:৫ খ. ৫:২ গ. ১:৫ ঘ. ৫:১ | উত্তর: খ | ব্যাখ্যা: 20x = 50y ⇒ x/y = 50/20 = 5/2। অনুপাত ৫:২।






৫৩. একটি বাক্সে লাল ও নীল মার্বেলের অনুপাত ৩:৫। বাক্স থেকে ২টি লাল মার্বেল সরিয়ে নিলে অনুপাত হয় ১:২। শুরুতে নীল মার্বেল কয়টি ছিল? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: (৩x-২)/৫x = ১/২ ⇒ ৬x-৪ = ৫x ⇒ x = ৪। নীল মার্বেল ৫x = ২০টি।






৫৪. দুটি সংখ্যার অনুপাত ৩:৪ এবং এদের ল.সা.গু ১৮০ হলে সংখ্যা দুটি কী কী? ক. ৩০, ৪০ খ. ৪৫, ৬০ গ. ১৫, ২০ ঘ. ৬০, ৮০ | উত্তর: খ | ব্যাখ্যা: লসাগু ১২x = ১৮০ ⇒ x = ১৫। সংখ্যা দুটি ৩×১৫=৪৫ এবং ৪×১৫=৬০।






৫৫. ৫ জন পুরুষ বা ৯ জন মহিলা একটি কাজ ১৯ দিনে করতে পারে। ৩ জন পুরুষ ও ৬ জন মহিলা ওই কাজ কত দিনে করবে? ক. ১২ খ. ১৫ গ. ১৮ ঘ. ২১ | উত্তর: খ | ব্যাখ্যা: ৫ পু = ৯ ম। ১ পু = ৯/৫ ম। ৩ পু = ২৭/৫ ম। মোট মহিলা = ২৭/৫ + ৬ = ৫৭/৫ জন। ৯ জন করে ১৯ দিনে, ১ জন করে ১৯×৯ দিনে, ৫৭/৫ জন করে (১৯×৯×৫)/৫৭ = ১৫ দিনে।






৫৬. একটি ক্লাসে ৪০ জন ছাত্র ও ছাত্রীর অনুপাত ৩:২। কতজন ছাত্রী যোগ দিলে অনুপাত ১:১ হবে? ক. ৫ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: ছাত্র ২৪ জন, ছাত্রী ১৬ জন (৫ অংশ=৪০, ১ অংশ=৮)। ১:১ হতে হলে ছাত্রীও ২৪ জন হতে হবে। আরও ৮ জন যোগ দিতে হবে।






৫৭. দুটি সংখ্যার অনুপাত ৭:১০ এবং তাদের গ.সা.গু ৮ হলে ছোট সংখ্যাটি কত? ক. ৫৬ খ. ৭০ গ. ৮০ ঘ. ১১২ | উত্তর: ক | ব্যাখ্যা: ছোট সংখ্যা = ৭ × ৮ = ৫৬।






৫৮. ২৪ ক্যারেট সোনা বলতে ১০০% খাঁটি সোনা বোঝায়। ১৮ ক্যারেট সোনায় কত শতাংশ খাঁটি সোনা থাকে? ক. ৬০% খ. ৭০% গ. ৭৫% ঘ. ৮০% | উত্তর: গ | ব্যাখ্যা: (১৮/২৪) × ১০০ = ৩/৪ × ১০০ = ৭৫%।






৫৯. একটি রম্বসের দুটি কর্ণের অনুপাত ৩:৪ এবং ক্ষেত্রফল ১৫০ বর্গমিটার হলে বড় কর্ণটি কত? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: ক্ষেত্রফল = ১/২ × d1 × d2 = ১/২ × ৩x × ৪x = ৬x²। ৬x² = ১৫০ ⇒ x² = ২৫ ⇒ x = ৫। বড় কর্ণ = ৪×৫ = ২০ মি.।






৬০. ৯, ১২, ১৮ এর চতুর্থ সমানুপাতী কত? ক. ২০ খ. ২২ গ. ২৪ ঘ. ২৭ | উত্তর: গ | ব্যাখ্যা: ৯/১২ = ১৮/x ⇒ ৯x = ২১৬ ⇒ x = ২৪।






