পর্ব ১: সংখ্যা পদ্ধতি (Number System)
১. ক্ষুদ্রতম মৌলিক সংখ্যা কোনটি? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: গ | ব্যাখ্যা: মৌলিক সংখ্যার শর্ত হলো এর দুটি উৎপাদক (১ এবং ঐ সংখ্যা) থাকতে হবে। ১-এর উৎপাদক কেবল ১টি। তাই ক্ষুদ্রতম মৌলিক সংখ্যা ২।
২৮. কোনো সংখ্যাকে ১৩ দ্বারা ভাগ করলে ৩ অবশিষ্ট থাকে। সংখ্যাটির ৩ গুণকে ১৩ দ্বারা ভাগ করলে অবশিষ্ট কত? ক. ৩ খ. ৬ গ. ৯ ঘ. ১২ | উত্তর: গ | ব্যাখ্যা: ভাগশেষকেই সংখ্যা ধরুন। সংখ্যাটি ৩। এর ৩ গুণ = ৯। ৯ কে ১৩ দিয়ে ভাগ করলে ৯ ই অবশিষ্ট থাকে।
২৯. ৫৬৭৮৯ সংখ্যাটিতে ৭ এর স্থানীয় মান কত? ক. ৭ খ. ৭০ গ. ৭০০ ঘ. ৭০০০ | উত্তর: গ | ব্যাখ্যা: ৭ শতকের ঘরে অবস্থিত, তাই এর স্থানীয় মান ৭ × ১০০ = ৭০০।
৩০. ৩ ৪৮২৫ সংখ্যাটিতে ৮ এর স্থানীয় মান ও স্বকীয় মানের পার্থক্য কত? ক. ৭৯২ খ. ৭৯৯২ গ. ৮০০ ঘ. ৮ | উত্তর: ক | ব্যাখ্যা: স্থানীয় মান ৮০০, স্বকীয় মান (নিজস্ব মান) ৮। পার্থক্য = ৮০০ - ৮ = ৭৯২।
৩১. কোন সংখ্যায় অঙ্কের স্থানীয় মান ও স্বকীয় মান সর্বদা একই থাকে? ক. দশকের ঘরে খ. শতকের ঘরে গ. এককের ঘরে ঘ. হাজারের ঘরে | উত্তর: গ | ব্যাখ্যা: এককের ঘরে থাকা অঙ্কের মান সবসময় তার নিজস্ব মানের (Face Value) সমান।
৩২. দশমিক সংখ্যায় ০.০৭৫ এ ৭ এর স্থানীয় মান কত? ক. ৭/১০ খ. ৭/১০০ গ. ৭/১০০০ ঘ. ৭ | উত্তর: খ | ব্যাখ্যা: দশমিকের পর দ্বিতীয় ঘরটি হলো শতাংশের ঘর (Hundredths)। তাই মান ৭/১০০।
৩৩. ২, ০, ৫, ৮ দ্বারা গঠিত বৃহত্তম ও ক্ষুদ্রতম সংখ্যার পার্থক্য কত? ক. ৬৪৭২ খ. ৬৪৭৮ গ. ৬৪৬২ ঘ. ৬ ৪৮০ | উত্তর: খ | ব্যাখ্যা: বৃহত্তম ৮৫২০, ক্ষুদ্রতম ২০৫৮ (০ প্রথমে বসলে ৩ অঙ্কের হয়ে যাবে)। পার্থক্য = ৮৫২০ - ২০৫৮ = ৬৪৭৮।
৩৪. দুই অঙ্কের একটি সংখ্যার অঙ্কদ্বয়ের স্থান বিনিময়ের ফলে যে সংখ্যা পাওয়া যায়, তাদের পার্থক্য সর্বদা কত দ্বারা বিভাজ্য? ক. ৫ খ. ৭ গ. ৯ ঘ. ১১ | উত্তর: গ | ব্যাখ্যা: সংখ্যাটি ১০x+y, উল্টালে ১০y+x। পার্থক্য ৯x-৯y = ৯(x-y), যা সর্বদা ৯ দ্বারা বিভাজ্য।
৩৫. দুই অঙ্কের একটি সংখ্যার অঙ্কদ্বয়ের স্থান বিনিময়ের ফলে যে সংখ্যা পাওয়া যায়, তাদের যোগফল সর্বদা কত দ্বারা বিভাজ্য? ক. ৭ খ. ৯ গ. ১১ ঘ. ১৩ | উত্তর: গ | ব্যাখ্যা: যোগফল = (১০x+y) + (১০y+x) = ১১x + ১১y = ১১(x+y), যা সর্বদা ১১ দ্বারা বিভাজ্য।
৩৬. ১ হতে ১০০ পর্যন্ত সংখ্যাগুলোর যোগফল কত? ক. ৫০৫০ খ. ৫০০০ গ. ৫১৫০ ঘ. ৫৫০০ | উত্তর: ক | ব্যাখ্যা: সূত্র: n(n+১)/২ = ১০০×১০১/২ = ৫০৫০।
৩৭. ১ হতে ৫০ পর্যন্ত বিজোড় সংখ্যাগুলোর যোগফল কত? ক. ৬২৫ খ. ৬০০ গ. ৬৫০ ঘ. ৬৭৬ | উত্তর: ক | ব্যাখ্যা: ১ থেকে ৫০ এর মধ্যে বিজোড় সংখ্যা আছে ২৫টি। প্রথম n সংখ্যক বিজোড় সংখ্যার যোগফল = n² = ২৫² = ৬২৫।
৩৮. ০, ১, ২, ৩ দ্বারা গঠিত চার অঙ্কের বৃহত্তম সংখ্যা কোনটি? ক. ৩২১০ খ. ৩১২০ গ. ৩০২১ ঘ. ৩২০১ | উত্তর: ক | ব্যাখ্যা: বড় থেকে ছোট সাজালে বৃহত্তম সংখ্যা পাওয়া যায়: ৩২১০।
৩৯. পরপর দুটি পূর্ণসংখ্যার বর্গের পার্থক্য ১৭ হলে সংখ্যা দুটি কী কী? ক. ৭, ৮ খ. ৮, ৯ গ. ৯, ১০ ঘ. ১০, ১১ | উত্তর: খ | ব্যাখ্যা: শর্টকাট: বড় সংখ্যা = (পার্থক্য+১)/২ = ১৮/২ = ৯। ছোট সংখ্যা = (পার্থক্য-১)/২ = ৮।
৪০. দুটি সংখ্যার অনুপাত ৩:৪। এদের বর্গের সমষ্টি ৪০০ হলে, সংখ্যা দুটি কী কী? ক. ৯, ১২ খ. ১২, ১৬ গ. ১৫, ২০ ঘ. ১৮, ২৪ | উত্তর: খ | ব্যাখ্যা: ধরি সংখ্যা ৩x, ৪x। (৩x)²+(৪x)² = ৯x²+১৬x² = ২৫x² = ৪০০। x² = ১৬ ⇒ x = ৪। সংখ্যা: ১২, ১৬।
৪১. কোন ক্ষুদ্রতম সংখ্যাকে ৩, ৫ বা ৬ দ্বারা ভাগ করলে প্রতিবার ১ অবশিষ্ট থাকে? ক. ৩০ খ. ৩১ গ. ৬০ ঘ. ৬১ | উত্তর: খ | ব্যাখ্যা: ৩, ৫, ৬ এর লসাগু ৩০। অবশিষ্ট ১ যোগ করলে ৩০ + ১ = ৩১।
৪২. √০.০০০০৪৫ = কত? ক. ০.০০৬৭ খ. ০.০৬৭ গ. ০.০০২১ ঘ. অমূলদ | উত্তর: ঘ | ব্যাখ্যা: দশমিকের পর বিজোড় সংখ্যক ঘর (৬টি নয়, এখানে ৫টি শূন্য ও ৪৫ অর্থাৎ মোট ৬ ঘর। তবে ৪৫ পূর্ণবর্গ নয়)। তাই এটি অমূলদ।
৪৩. ১ থেকে ২০ পর্যন্ত মৌলিক সংখ্যাগুলোর যোগফল কত? ক. ৭৭ খ. ৭৮ গ. ৭৯ ঘ. ৮১ | উত্তর: ক | ব্যাখ্যা: ২+৩+৫+৭+১১+১৩+১৭+১৯ = ৭৭।
৪৪. কোন সংখ্যাটি পারফেক্ট সংখ্যা (Perfect Number)? ক. ৬ খ. ৮ গ. ১২ ঘ. ১৬ | উত্তর: ক | ব্যাখ্যা: যে সংখ্যার প্রকৃত উৎপাদকগুলোর যোগফল সংখ্যাটির সমান, তাকে পারফেক্ট নম্বর বলে। ৬ এর উৎপাদক ১, ২, ৩। ১+২+৩ = ৬।
৪৫. ১ থেকে ১০০ এর মধ্যে কতটি সংখ্যা ৩ দ্বারা বিভাজ্য কিন্তু ৫ দ্বারা নয়? ক. ২৭ খ. ৩০ গ. ২৬ ঘ. ২৫ | উত্তর: ক | ব্যাখ্যা: ৩ দ্বারা বিভাজ্য ১০০/৩ = ৩৩টি। ১৫ (৩ ও ৫ উভয়ের লসাগু) দ্বারা বিভাজ্য ১০০/১৫ = ৬টি। ৩৩ - ৬ = ২৭টি।
৪৬. এক বিলিয়ন সমান কত কোটি? ক. ১০ কোটি খ. ১০০ কোটি গ. ১০০০ কোটি ঘ. ১ লক্ষ কোটি | উত্তর: খ | ব্যাখ্যা: ১ মিলিয়ন = ১০ লক্ষ। ১ বিলিয়ন = ১০০০ মিলিয়ন = ১০০০ × ১০ লক্ষ = ১০০০০ লক্ষ = ১০০ কোটি।
৪৭. রোমান সংখ্যায় 'M' এর মান কত? ক. ১০০ খ. ৫০০ গ. ১০০০ ঘ. ৫০০০ | উত্তর: গ | ব্যাখ্যা: রোমান পদ্ধতিতে I=1, V=5, X=10, L=50, C=100, D=500, M=1000.
৪৮. ১২ এর কতটি ভাজক (উৎপাদক) আছে? ক. ৪টি খ. ৫টি গ. ৬টি ঘ. ৭টি | উত্তর: গ | ব্যাখ্যা: ১২ = ২² × ৩¹। ভাজক সংখ্যা = (২+১)(১+১) = ৩×২ = ৬টি (১, ২, ৩, ৪, ৬, ১২)।
৪৯. ৩৬০ এর মোট ভাজক সংখ্যা কত? ক. ১৮ খ. ২০ গ. ২২ ঘ. ২৪ | উত্তর: ঘ | ব্যাখ্যা: ৩৬০ = ২³ × ৩² × ৫¹। ভাজক সংখ্যা = (৩+১)(২+১)(১+১) = ৪×৩×২ = ২৪টি।
৫০. ১²+২²+৩²+...+১০² = কত? ক. ৩৮৫ খ. ৪০৫ গ. ৪২৫ ঘ. ৪৫৫ | উত্তর: ক | ব্যাখ্যা: বর্গের সমষ্টির সূত্র: n(n+1)(2n+1)/6 = ১০×১১×২১/৬ = ৩৮৫।
৫১. ১³+২³+৩³+...+১০³ = কত? ক. ২৫০০ খ. ৩০২৫ গ. ৩৫০০ ঘ. ৪০২৫ | উত্তর: খ | ব্যাখ্যা: ঘনের সমষ্টির সূত্র: [n(n+1)/2]² = [১০×১১/২]² = ৫৫² = ৩০২৫।
৫২. কোনো সংখ্যার অর্ধেক থেকে তার এক-তৃতীয়াংশ বিয়োগ করলে বিয়োগফল ৬ হয়। সংখ্যাটি কত? ক. ২৪ খ. ৩০ গ. ৩৬ ঘ. ৪৮ | উত্তর: গ | ব্যাখ্যা: সমীকরণ: x/২ - x/৩ = ৬ ⇒ x/৬ = ৬ ⇒ x = ৩৬।
৫৩. ৩টি ক্রমিক বিজোড় সংখ্যার গুণফল ৩১৫ হলে বড় সংখ্যাটি কত? ক. ৫ খ. ৭ গ. ৯ ঘ. ১১ | উত্তর: গ | ব্যাখ্যা: ৩১৫ কে উৎপাদকে বিশ্লেষণ করলে ৩×৩×৫×৭ = ৫×৭×৯ পাওয়া যায়। বড় সংখ্যাটি ৯।
৫৪. দুটি ক্রমিক সংখ্যার বর্গের অন্তর ৪৭ হলে সংখ্যা দুটি কী কী? ক. ২২, ২৩ খ. ২৩, ২৪ গ. ২৪, ২৫ ঘ. ২৫, ২৬ | উত্তর: খ | ব্যাখ্যা: বর্গের অন্তর = সংখ্যা দুটির যোগফল (যেহেতু x²-(x-১)² = ২x-১)। ২৩+২৪=৪৭।
৫৫. একটি সংখ্যার ৩ গুণের সাথে দ্বিগুণ যোগ করলে ৯০ হয়। সংখ্যাটি কত? ক. ১৫ খ. ১৮ গ. ২০ ঘ. ২৪ | উত্তর: খ | ব্যাখ্যা: ৩x + ২x = ৯০ ⇒ ৫x = ৯০ ⇒ x = ১৮।
৫৬. একটি সংখ্যার বর্গের দ্বিগুণ থেকে ৫ বিয়োগ করলে ২৭ হয়। সংখ্যাটি কত? ক. ৩ খ. ৪ গ. ৫ ঘ. ৬ | উত্তর: খ | ব্যাখ্যা: ২x² - ৫ = ২৭ ⇒ ২x² = ৩২ ⇒ x² = ১৬ ⇒ x = ৪।
৫৭. ১০ থেকে ৬০ পর্যন্ত যেসব মৌলিক সংখ্যার একক স্থানীয় অঙ্ক ৯, তাদের যোগফল কত? ক. ১০৭ খ. ১০৯ গ. ১১৭ ঘ. ১২৭ | উত্তর: ক | ব্যাখ্যা: একক স্থানে ৯ থাকা মৌলিক সংখ্যাগুলো: ১৯, ২৯, ৫৯ (৩৯ ও ৪৯ মৌলিক নয়)। ১৯+২৯+৫৯ = ১০৭।
৫৮. দুটি সংখ্যার যোগফল ১০ এবং গুণফল ২৪ হলে, তাদের বর্গের যোগফল কত? ক. ৪৮ খ. ৫২ গ. ৭১ ঘ. ১০০ | উত্তর: খ | ব্যাখ্যা: a+b=১০, ab=২৪। a²+b² = (a+b)² - ২ab = ১০০ - ৪৮ = ৫২। (অথবা সংখ্যা দুটি ৬, ৪; ৬²+৪²=৫২)।
৫৯. একটি ভগ্নাংশের লব ও হর উভয়ের সাথে ১ যোগ করলে ভগ্নাংশটি ৪/৫ হয়। লব ও হর উভয় থেকে ৫ বিয়োগ করলে ১/২ হয়। ভগ্নাংশটি কত? ক. ৭/৯ খ. ৯/১১ গ. ১১/১৩ ঘ. ৫/৭ | উত্তর: ক | ব্যাখ্যা: অপশন টেস্ট। ৭/৯ এর সাথে ১ যোগ করলে ৮/১০ = ৪/৫। ৫ বিয়োগ করলে ২/৪ = ১/২।
৬০. ৯৪৫৬ সংখ্যাটিতে ৫ এর স্থানীয় মান কত? ক. ৫ খ. ৫০ গ. ৫০০ ঘ. ৫০০০ | উত্তর: খ | ব্যাখ্যা: ৫ দশকের ঘরে অবস্থিত, তাই এর স্থানীয় মান ৫ × ১০ = ৫০।
৬১. ৭২৮৯ সংখ্যাটিতে ২ এর স্বকীয় মান কত? ক. ২ খ. ২০ গ. ২০০ ঘ. ২০০০ | উত্তর: ক | ব্যাখ্যা: স্বকীয় মান বা Face value সবসময় অঙ্কটির নিজস্ব মান। তাই ২ এর স্বকীয় মান ২।
৬২. ৬৪৫৩ সংখ্যাটিতে ৬ এবং ৫ এর স্থানীয় মানের পার্থক্য কত? ক. ৫৯৫০ খ. ৫৯৯৫ গ. ৫০০০ ঘ. ৫০ | উত্তর: ক | ব্যাখ্যা: ৬ এর স্থানীয় মান ৬০০০। ৫ এর স্থানীয় মান ৫০। পার্থক্য: ৬০০০ - ৫০ = ৫৯৫০।
৬৩. ৪৩২০ তে ৩ এর স্থানীয় মান ও ২ এর স্থানীয় মানের গুণফল কত? ক. ৬০০ খ. ৬০০০ গ. ৬০০০০ ঘ. ৬ | উত্তর: খ | ব্যাখ্যা: ৩ এর স্থানীয় মান ৩০০, ২ এর স্থানীয় মান ২০। গুণফল = ৩০০ × ২০ = ৬০০০।
৬৪. দুই অঙ্কের একটি সংখ্যার অঙ্কদ্বয়ের যোগফল ৯। অঙ্ক স্থান বিনিময় করলে সংখ্যাটি ৪৫ বৃদ্ধি পায়। সংখ্যাটি কত? ক. ২৭ খ. ৩৬ গ. ৪৫ ঘ. ৭২ | উত্তর: ক | ব্যাখ্যা: অপশন টেস্ট। ২৭ উল্টালে ৭২। ৭২ - ২৭ = ৪৫ বৃদ্ধি পেয়েছে।
৬৫. তিন অঙ্কের ক্ষুদ্রতম সংখ্যা ও দুই অঙ্কের বৃহত্তম সংখ্যার পার্থক্য কত? ক. ১ খ. ১০ গ. ১০০ ঘ. ৯৯ | উত্তর: ক | ব্যাখ্যা: তিন অঙ্কের ক্ষুদ্রতম ১০০। দুই অঙ্কের বৃহত্তম ৯৯। ১০০ - ৯৯ = ১।
৬৬. দুই অঙ্কের কোনো সংখ্যার দশকের অঙ্ক এককের অঙ্কের দ্বিগুণ। সংখ্যাটি অঙ্কদ্বয়ের যোগফলের কত গুণ? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: ঘ | ব্যাখ্যা: একক x, দশক ২x। সংখ্যা = ১০(২x) + x = ২১x। অঙ্কদ্বয়ের যোগফল = x+২x = ৩x। ২১x/৩x = ৭ গুণ। (যেমন: সংখ্যা ২১, যোগফল ৩, ৩×৭=২১)।
৬৭. প্রথম ১০টি জোড় সংখ্যার যোগফল কত? ক. ১০০ খ. ১১০ গ. ১২০ ঘ. ১৩০ | উত্তর: খ | ব্যাখ্যা: প্রথম n সংখ্যক জোড় সংখ্যার যোগফল = n(n+1)। ১০×১১ = ১১০।
৬৮. ০.৪ × ০.০৫ × ০.০২ = কত? ক. ০.০০৪ খ. ০.০০০৪ গ. ০.০০০২ ঘ. ০.০৪ | উত্তর: খ | ব্যাখ্যা: অঙ্কগুলোর গুণফল ৪×৫×২ = ৪০। দশমিক ঘর মোট = ১+২+২ = ৫ ঘর। ৪০ এর আগে ৩টি শূন্য বসবে: ০.০০০৪০ বা ০.০০০৪।
৬৯. ১/২, ১/৩, ১/৪ এর মধ্যে কোনটি বৃহত্তম? ক. ১/২ খ. ১/৩ গ. ১/৪ ঘ. সবগুলো সমান | উত্তর: ক | ব্যাখ্যা: লব সমান হলে, যে ভগ্নাংশের হর সবচেয়ে ছোট, সেই ভগ্নাংশটি সবচেয়ে বড় হয়।
৭০. ২³¹ কে ৫ দ্বারা ভাগ করলে ভাগশেষ কত? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: গ | ব্যাখ্যা: ২ এর পাওয়ার সাইকেল। ৩১ কে ৪ দিয়ে ভাগ করলে ভাগশেষ ৩। ২³ = ৮। ৮ কে ৫ দিয়ে ভাগ করলে ভাগশেষ ৩।
