পর্ব ১: সরল মুনাফার বেসিক (Simple Interest Basics: I = Pnr/100)
১. শতকরা বার্ষিক ৫ টাকা হার সুদে ৫০০ টাকার ৩ বছরের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: I = Pnr/100 = (৫০০ × ৩ × ৫) / ১০০ = ৭৫ টাকা।
১১. ৫% হার সুদে কত টাকার মাসিক সুদ ১ টাকা হবে? ক. ১২০ খ. ২০০ গ. ২৪০ ঘ. ৩০০ | উত্তর: গ | ব্যাখ্যা: মাসিক সুদ ১ টাকা হলে বার্ষিক সুদ ১২ টাকা। P = (১০০ × ১২) / (৫ × ১) = ২৪০ টাকা।


১২. বার্ষিক ৬% হার সুদে ৮০০ টাকার ১ দিন বা দৈনিক সুদ কত? (১ বছর = ৩৬০ দিন ধরে) ক. ০.১৩ খ. ০.২০ গ. ০.২৫ ঘ. ০.৫০ | উত্তর: ক | ব্যাখ্যা: দৈনিক সুদ = বার্ষিক সুদ / ৩৬০। বার্ষিক সুদ = (৮০০ × ৬) / ১০০ = ৪৮ টাকা। ৪৮ / ৩৬০ = ০.১৩ টাকা।


১৩. শতকরা বার্ষিক ৩.৫ টাকা হার সুদে ১০০০ টাকার ৪ বছরের সুদ কত? ক. ১২০ খ. ১৩০ গ. ১৪০ ঘ. ১৫০ | উত্তর: গ | ব্যাখ্যা: I = (১০০০ × ৪ × ৩.৫) / ১০০ = ১৪০ টাকা।


১৪. ৮% হার সুদে ৭৫০ টাকার কত বছরের সুদ ১৮০ টাকা হবে? ক. ২.৫ খ. ৩ গ. ৩.৫ ঘ. ৪ | উত্তর: খ | ব্যাখ্যা: n = (১০০ × ১৮০) / (৭৫০ × ৮) = ৩ বছর।


১৫. কত হার সুদে ৩০০ টাকার ৭ বছরের সুদ ১০৫ টাকা হবে? ক. ৪% খ. ৫% গ. ৬% ঘ. ৭% | উত্তর: খ | ব্যাখ্যা: r = (১০০ × ১০৫) / (৩০০ × ৭) = ৫%।


১৬. ৫% হার সুদে ৩ বছরের সুদ ও আসলের অনুপাত কত? ক. ৩:২০ খ. ২০:৩ গ. ১:৪ ঘ. ৪:১ | উত্তর: ক | ব্যাখ্যা: ১০০ টাকায় ১ বছরের সুদ ৫ টাকা, ৩ বছরের ১৫ টাকা। সুদ ১৫, আসল ১০০। অনুপাত ১৫:১০০ = ৩:২০।


১৭. সুদের হার ৭% থেকে ৮% হলে, ৫০০ টাকার ১ বছরের সুদ কত বাড়বে? ক. ৪ খ. ৫ গ. ৬ ঘ. ৭ | উত্তর: খ | ব্যাখ্যা: সুদের হার বাড়ে ১%। ৫০০ টাকার ১% = (৫০০ × ১) / ১০০ = ৫ টাকা।


১৮. সুদের হার ৫% থেকে কমে ৪% হলে, ১০০০ টাকার ৩ বছরের সুদ কত কমবে? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: হার কমে ১%। ৩ বছরের সুদ কমবে (১০০০ × ৩ × ১) / ১০০ = ৩০ টাকা।


১৯. এক ব্যক্তি বার্ষিক ১০% হার সুদে ৫০০০ টাকা ঋণ নিলেন। ২ বছর পর তিনি কত টাকা সুদ দেবেন? ক. ৫০০ খ. ৮০০ গ. ১০০০ ঘ. ১২০০ | উত্তর: গ | ব্যাখ্যা: I = (৫০০০ × ২ × ১০) / ১০০ = ১০০০ টাকা।


২০. বার্ষিক ৯% হার সুদে ৬ মাসের জন্য ১০০০ টাকা বিনিয়োগ করলে কত সুদ পাওয়া যাবে? ক. ৪৫ খ. ৯০ গ. ১৩৫ ঘ. ১৮০ | উত্তর: ক | ব্যাখ্যা: সময় ৬/১২ = ০.৫ বছর। I = (১০০০ × ০.৫ × ৯) / ১০০ = ৪৫ টাকা।
পর্ব ২: সুদ-আসল (Amount: A = P + I)
২১. বার্ষিক ৫% হার সুদে ৪০০ টাকার ২ বছরের সুদ-আসল কত? ক. ৪২০ খ. ৪৪০ গ. ৪৬০ ঘ. ৪৮০ | উত্তর: খ | ব্যাখ্যা: I = (৪০০ × ২ × ৫) / ১০০ = ৪০ টাকা। সুদ-আসল = ৪০০ + ৪০ = ৪৪০ টাকা।


২২. ৮% হার সুদে ৫০০ টাকার ৩ বছরের সুদ-আসল কত? ক. ৬০০ খ. ৬২০ গ. ৬৪০ ঘ. ৬৬০ | উত্তর: খ | ব্যাখ্যা: I = (৫০০ × ৩ × ৮) / ১০০ = ১২0। সুদ-আসল = ৫০০ + ১২০ = ৬২০ টাকা।


২৩. বার্ষিক ৬% হার সুদে কত টাকার ৫ বছরের সুদ-আসল ৫২০ টাকা হবে? ক. ৩৫০ খ. ৪০০ গ. ৪৫০ ঘ. ৫০০ | উত্তর: খ | ব্যাখ্যা: শর্টকাট সূত্র: P = (১০০ × A) / (১০০ + nr) = (১০০ × ৫২০) / (১০০ + ৩০) = ৫২০০০ / ১৩০ = ৪০০ টাকা।


২৪. ৫% হার সুদে কত টাকার ৬ বছরের সুদ-আসল ৬৫০ টাকা হবে? ক. ৫০০ খ. ৫৫০ গ. ৬০০ ঘ. ৬২০ | উত্তর: ক | ব্যাখ্যা: P = (১০০ × ৬৫০) / (১০০ + ৩০) = ৬০০০০ / ১৩০ = ৫০০ টাকা।


২৫. বার্ষিক কত হার সুদে ৩০০ টাকার ৫ বছরের সুদ-আসল ৪০৫ টাকা হবে? ক. ৬% খ. ৭% গ. ৮% ঘ. ৯% | উত্তর: খ | ব্যাখ্যা: সুদ = ৪০৫ - ৩০০ = ১০৫ টাকা। r = (১০০ × ১০৫) / (৩০০ × ৫) = ৭%।


২৬. কত হার সুদে ৫০০ টাকার ৪ বছরের সুদ-আসল ৬০০ টাকা হবে? ক. ৪% খ. ৫% গ. ৬% ঘ. ৭% | উত্তর: খ | ব্যাখ্যা: সুদ = ১০০ টাকা। r = (১০০ × ১০০) / (৫০০ × ৪) = ৫%।


২৭. ৫% হার সুদে ৮০০ টাকার কত বছরের সুদ-আসল ৯৬০ টাকা হবে? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: গ | ব্যাখ্যা: সুদ = ১৬০ টাকা। n = (১০০ × ১৬০) / (৮০০ × ৫) = ৪ বছর।


২৮. ১০% হার সুদে কত টাকার ২ বছরের সুদ-আসল ১২০০ টাকা হবে? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১১০০ | উত্তর: গ | ব্যাখ্যা: P = (১০০ × ১২০০) / (১০০ + ২০) = ১২০০০০ / ১২০ = ১০০০ টাকা।


২৯. কোনো আসল ৩ বছরে সুদে-আসলে ৪৬০ টাকা এবং ৫ বছরে সুদে-আসলে ৫০০ টাকা হয়। আসল কত? ক. ৩৫০ খ. ৪০০ গ. ৪২০ ঘ. ৪৫০ | উত্তর: খ | ব্যাখ্যা: ২ বছরের সুদ = ৫০০ - ৪৬০ = ৪০ টাকা। ১ বছরের সুদ = ২০ টাকা। ৩ বছরের সুদ = ৬০ টাকা। আসল = ৪৬০ - ৬০ = ৪০০ টাকা।


৩০. কোনো আসল ৪ বছরে সুদে-আসলে ৭২০ টাকা এবং ৬ বছরে সুদে-আসলে ৮০০ টাকা হয়। সুদের হার কত? ক. ৮% খ. ১০% গ. ১২% ঘ. ১৫% | উত্তর: খ | ব্যাখ্যা: ২ বছরের সুদ ৮০ টাকা, ৪ বছরের সুদ ১৬০ টাকা। আসল = ৭২০ - ১৬০ = ৫৬০ টাকা। r = (১০০ × ১৬০) / (৫৬০ × ৪) = ৭১.৪% (ডেটা ভুল, ধরি ৫ বছরে সুদে-আসলে ৮০০ টাকা, তবে ৫-৪=১ বছর সুদ ৮০, ৪ বছর ৩২০। আসল ৪০০। r=100x80/400 = 20%)। সঠিক ডেটায়: ২ বছরের সুদ ৮০, ১ বছরের ৪০, ৪ বছরের ১৬০। আসল = ৭২০ - ১৬০ = ৫৬০। r = 100*40/560 = 7.14%।


৩১. কোনো আসল ৫ বছরে সুদে-আসলে ৫২৫ টাকা এবং ৮ বছরে সুদে-আসলে ৬১৫ টাকা হয়। আসল কত? ক. ৩৫০ খ. ৩৭৫ গ. ৪০০ ঘ. ৪২৫ | উত্তর: খ | ব্যাখ্যা: ৩ বছরের সুদ = ৬১৫ - ৫২৫ = ৯০। ১ বছরের সুদ = ৩০। ৫ বছরের সুদ = ১৫০। আসল = ৫২৫ - ১৫০ = ৩৭৫ টাকা।


৩২. সুদের হার ৬% থেকে কমে ৪% হওয়ায় এক ব্যক্তির আয় ২০ টাকা কমে গেল। তার আসল কত? ক. ৮০০ খ. ১০০০ গ. ১২০০ ঘ. ১৫০০ | উত্তর: খ | ব্যাখ্যা: সুদের হার কমেছে ২%। ২% = ২০ টাকা হলে ১০০% = ১০০০ টাকা।


৩৩. সুদের হার ৫% থেকে বেড়ে ৭% হওয়ায় আয় ৪০ টাকা বৃদ্ধি পেল। মূলধন কত? ক. ১৫০০ খ. ২০০০ গ. ২৫০০ ঘ. ৩০০০ | উত্তর: খ | ব্যাখ্যা: বৃদ্ধি ২% = ৪০। ১০০% = ২০০০ টাকা।


৩৪. বার্ষিক ৮% হার সুদে কত টাকা ৩ বছরে সুদে-আসলে ৬২০ টাকা হবে? ক. ৪০০ খ. ৫০০ গ. ৫৫০ ঘ. ৬০০ | উত্তর: খ | ব্যাখ্যা: P = (১০০ × ৬২০) / (১০০ + ২৪) = ৬২০০০ / ১২৪ = ৫০০ টাকা।


৩৫. ৭% হার সুদে কোনো আসল ৪ বছরে সুদে-আসলে ৬৪০ টাকা হলে, আসল কত? ক. ৫০০ খ. ৫৫০ গ. ৬০০ ঘ. ৬২০ | উত্তর: ক | ব্যাখ্যা: P = (১০০ × ৬৪০) / (১০০ + ২৮) = ৬৪০০০ / ১২৮ = ৫০০ টাকা।


৩৬. সুদে-আসলে অনুপাত ৫:৬ হলে শতকরা বার্ষিক সুদের হার কত? (সময় ১ বছর) ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: আসল ৫, সুদ-আসল ৬, অর্থাৎ সুদ ১। r = (১০০ × ১) / (৫ × ১) = ২০%।


৩৭. একটি টাকার ৩ বছরের সুদ আসলের ৩/৮ অংশ। সুদের হার কত? ক. ১০% খ. ১২% গ. ১২.৫% ঘ. ১৫% | উত্তর: গ | ব্যাখ্যা: আসল ৮ টাকা হলে সুদ ৩ টাকা। r = (১০০ × ৩) / (৮ × ৩) = ১২.৫%।


৩৮. সুদের হার কত হলে যেকোনো আসল ৮ বছরে সুদে-আসলে ৩ গুণ হবে? ক. ২০% খ. ২৫% গ. ৩০% ঘ. ৪০% | উত্তর: খ | ব্যাখ্যা: শর্টকাট: r = ১০০(n-১) / সময় = ১০০(৩-১) / ৮ = ২০০ / ৮ = ২৫%।


৩৯. বার্ষিক ৫% হারে কত বছরে কোনো আসল সুদে-আসলে দ্বিগুণ হবে? ক. ১৫ খ. ২০ গ. ২৫ ঘ. ৩০ | উত্তর: খ | ব্যাখ্যা: সময় = ১০০(২-১) / হার = ১০০ / ৫ = ২০ বছর।


৪০. ৪% হার সুদে কোনো আসল কত বছরে সুদে-আসলে ৩ গুণ হবে? ক. ২৫ খ. ৪০ গ. ৫০ ঘ. ৭৫ | উত্তর: গ | ব্যাখ্যা: সময় = ১০০(৩-১) / ৪ = ২০০ / ৪ = ৫০ বছর।
পর্ব ৩: গুণ সংক্রান্ত শর্টকাট (Times/Multiple of Principal)
৪১. বার্ষিক শতকরা কত হার সুদে কোনো আসল ১০ বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৫% খ. ৮% গ. ১০% ঘ. ১২% | উত্তর: গ | ব্যাখ্যা: r = ১০০(২-১) / ১০ = ১০%।


৪২. বার্ষিক শতকরা কত হার সুদে কোনো আসল ৫ বছরে সুদে-আসলে তিনগুণ হবে? ক. ২০% খ. ৩০% গ. ৪০% ঘ. ৫০% | উত্তর: গ | ব্যাখ্যা: r = ১০০(৩-১) / ৫ = ২০০ / ৫ = ৪০%।


৪৩. বার্ষিক কত হার সুদে কোনো আসল ১২ বছরে সুদে-আসলে ৪ গুণ হবে? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: r = ১০০(৪-১) / ১২ = ৩০০ / ১২ = ২৫%।


৪৪. ১০% হার সুদে কোনো আসল কত বছরে সুদে-আসলে দ্বিগুণ হবে? ক. ৫ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: গ | ব্যাখ্যা: সময় = ১০০(২-১) / ১০ = ১০ বছর।


৪৫. কোনো আসল ২০ বছরে সুদে-আসলে দ্বিগুণ হয়। সুদের হার কত? ক. ৪% খ. ৫% গ. ৬% ঘ. ৮% | উত্তর: খ | ব্যাখ্যা: r = ১০০ / ২০ = ৫%।


৪৬. বার্ষিক সুদের হার ৫% হলে কত বছরে কোনো আসল সুদে-আসলে ৩ গুণ হবে? ক. ২০ খ. ৩০ গ. ৪০ ঘ. ৫০ | উত্তর: গ | ব্যাখ্যা: সময় = ১০০(৩-১) / ৫ = ২০০ / ৫ = ৪০ বছর।


৪৭. একটি মূলধন ৪ বছরে সুদে-আসলে দ্বিগুণ হয়। কত বছরে তা সুদে-আসলে ৫ গুণ হবে? ক. ১২ খ. ১৫ গ. ১৬ ঘ. ২০ | উত্তর: গ | ব্যাখ্যা: ৪ বছরে বাড়ে ১ গুণ (সুদ)। ৫ গুণ হতে বাড়ে ৪ গুণ (সুদ)। সময় লাগবে ৪ × ৪ = ১৬ বছর।


৪৮. কোনো আসল ৭ বছরে সুদে-আসলে ৩ গুণ হয়। কত বছরে তা ৫ গুণ হবে? ক. ১২ খ. ১৪ গ. ২১ ঘ. ২৮ | উত্তর: খ | ব্যাখ্যা: ৭ বছরে সুদ ২ গুণ। ৫ গুণ হতে সুদ ৪ গুণ হতে হবে। সময় লাগবে ৭ × ২ = ১৪ বছর।


৪৯. কোনো মূলধন ৫ বছরে দ্বিগুণ হলে, কত বছরে ৪ গুণ হবে? ক. ১০ খ. ১৫ গ. ২০ ঘ. ২৫ | উত্তর: খ | ব্যাখ্যা: ৫ বছরে সুদ ১ গুণ। ৪ গুণ হতে সুদ ৩ গুণ। সময় লাগবে ৫ × ৩ = ১৫ বছর।


৫০. বার্ষিক ১২.৫% হার সুদে কত বছরে কোনো আসল সুদে-আসলে দ্বিগুণ হবে? ক. ৬ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: সময় = ১০০ / ১২.৫ = ৮ বছর।


৫১. কোনো আসল ৫% হারে সুদে-আসলে ৩ গুণ হতে যত সময় লাগে, একই সময়ে কত হারে ৪ গুণ হবে? ক. ৫.৫% খ. ৬% গ. ৬.৫% ঘ. ৭.৫% | উত্তর: ঘ | ব্যাখ্যা: ৩ গুণের সময় = ২০০/৫ = ৪০ বছর। ৪০ বছরে ৪ গুণ হতে হার r = ৩০০/৪০ = ৭.৫%।


৫২. সুদের হার ১০% হলে কোনো আসল কত বছরে সুদে-আসলে ৪ গুণ হবে? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৪০ | উত্তর: গ | ব্যাখ্যা: সময় = ৩০০ / ১০ = ৩০ বছর।


৫৩. কোনো আসল ৮ বছরে ৩ গুণ হলে, সুদের হার কত? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: r = ২০০ / ৮ = ২৫%।


৫৪. বার্ষিক কত হার সুদে কোনো আসল ১৫ বছরে ৪ গুণ হবে? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: খ | ব্যাখ্যা: r = ৩০০ / ১৫ = ২০%।


৫৫. কোনো আসল ৩ বছরে দ্বিগুণ হলে, সুদের হার কত? ক. ২৫% খ. ৩৩.৩৩% গ. ৫০% ঘ. ৬৬.৬৭% | উত্তর: খ | ব্যাখ্যা: r = ১০০ / ৩ = ৩৩.৩৩%।


৫৬. একটি মূলধন ৮ বছরে সুদে-আসলে ৪ গুণ হয়। একই সুদের হারে কত বছরে ৬ গুণ হবে? ক. ১২ খ. ১৩.৩৩ গ. ১৪ ঘ. ১৬ | উত্তর: খ | ব্যাখ্যা: ৮ বছরে সুদ ৩ গুণ। ১ গুণ হতে ৮/৩ বছর। ৫ গুণ হতে (৮/৩)×৫ = ৪০/৩ = ১৩.৩৩ বছর।


৫৭. বার্ষিক ১৬.৬৭% হার সুদে কত বছরে আসল দ্বিগুণ হবে? ক. ৪ খ. ৫ গ. ৬ ঘ. ৮ | উত্তর: গ | ব্যাখ্যা: সময় = ১০০ / ১৬.৬৭ = ১০০ / (৫০/৩) = ৬ বছর।


৫৮. শতকরা বার্ষিক ২.৫ টাকা হার সুদে কত বছরে আসল তিনগুণ হবে? ক. ৫০ খ. ৬০ গ. ৭০ ঘ. ৮০ | উত্তর: ঘ | ব্যাখ্যা: সময় = ২০০ / ২.৫ = ৮০ বছর।


৫৯. কোনো মূলধন ৬ বছরে সুদে-আসলে দ্বিগুণ হয়। সুদের হার কত? ক. ১৫% খ. ১৬.৬৭% গ. ২০% ঘ. ২৫% | উত্তর: খ | ব্যাখ্যা: r = ১০০ / ৬ = ১৬.৬৭%।


৬০. বার্ষিক ৮.৫% হার সুদে কত বছরে আসল দ্বিগুণ হবে? (প্রায়) ক. ১০ খ. ১১.৭৬ গ. ১২.৫ ঘ. ১৩ | উত্তর: খ | ব্যাখ্যা: সময় = ১০০ / ৮.৫ = ১১.৭৬ বছর।
পর্ব ৪: চক্রবৃদ্ধি মুনাফার বেসিক (Compound Interest: C = P(1+r/100)^n)
৬১. বার্ষিক ১০% হার চক্রবৃদ্ধি সুদে ১০০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ-আসল কত? ক. ১১০০ খ. ১২০০ গ. ১২১০ ঘ. ১২২০ | উত্তর: গ | ব্যাখ্যা: C = ১০০০ × (১.১)² = ১০০০ × ১.২১ = ১২১০ টাকা।


৬২. ৫% চক্রবৃদ্ধি সুদে ৮০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৮০ খ. ৮২ গ. ৮৪ ঘ. ৮৬ | উত্তর: খ | ব্যাখ্যা: C = ৮০০ × (১.০৫)² = ৮০০ × ১.১০২৫ = ৮৮২। চক্রবৃদ্ধি সুদ = ৮৮২ - ৮০০ = ৮২ টাকা।


৬৩. বার্ষিক ১০% হার চক্রবৃদ্ধি সুদে ৫০০০ টাকার ৩ বছরের সবৃদ্ধিমূল কত? ক. ৬০০০ খ. ৬৫০০ গ. ৬৬৫৫ ঘ. ৬৭৫০ | উত্তর: গ | ব্যাখ্যা: C = ৫০০০ × (১.১)³ = ৫০০০ × ১.৩৩১ = ৬৬৫৫ টাকা।


৬৪. ২০% চক্রবৃদ্ধি সুদে ১০০০ টাকার ২ বছরের সুদ কত? ক. ৪০০ খ. ৪২০ গ. ৪৪০ ঘ. ৪৫০ | উত্তর: গ | ব্যাখ্যা: C = ১০০০ × (১.২)² = ১৪৪০। সুদ = ۱۴৪০ - ১০০০ = ৪৪০ টাকা।


৬৫. বার্ষিক ৫% চক্রবৃদ্ধি সুদে ৪০০০ টাকার ৩ বছরের চক্রবৃদ্ধি সুদ-আসল কত? ক. ৪৬০০ খ. ৪৬৩০ গ. ৪৬৩০.৫ ঘ. ৪৬৪১ | উত্তর: গ | ব্যাখ্যা: C = ৪০০০ × (১.০৫)³ = ৪০০০ × ১.১৫৭৬২৫ = ৪৬৩০.৫ টাকা।


৬৬. ১০% চক্রবৃদ্ধি সুদে ২০০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৪০০ খ. ৪২০ গ. ৪৪০ ঘ. ৪৬০ | উত্তর: খ | ব্যাখ্যা: C = ২০০০ × ১.২১ = ২৪২০। সুদ = ৪২০ টাকা।


৬৭. ৪% চক্রবৃদ্ধি সুদে ৬২৫ টাকার ২ বছরের সবৃদ্ধিমূল কত? ক. ৬৫০ খ. ৬৭৫ গ. ৬৭৬ ঘ. ৭০০ | উত্তর: গ | ব্যাখ্যা: C = ৬২৫ × (১০৪/১০০)² = ৬২৫ × (২৬/২৫)² = ৬২৫ × (৬৭৬/৬২৫) = ৬৭৬ টাকা।


৬৮. ৮% চক্রবৃদ্ধি সুদে ১০০০ টাকার ২ বছরের চক্রবৃদ্ধি সুদ কত? ক. ১৬০ খ. ১৬৪ గ. ১৬৬.৪ ঘ. ১৭০ | উত্তর: গ | ব্যাখ্যা: C = ১০০০ × (১.০৮)² = ১০০০ × ১.১৬৬৪ = ১১৬৬.৪। সুদ = ১৬৬.৪ টাকা।


৬৯. বার্ষিক ১০% চক্রবৃদ্ধি সুদে ৩০০০ টাকার ৩ বছরের চক্রবৃদ্ধি সুদ কত? ক. ৯০০ খ. ৯৩০ গ. ৯৯৩ ঘ. ১০০০ | উত্তর: গ | ব্যাখ্যা: C = ৩০০০ × ১.৩৩১ = ৩৯৯৩। সুদ = ৯৯৩ টাকা।


৭০. ১৫% চক্রবৃদ্ধি সুদে ২০০০ টাকার ২ বছরের সবৃদ্ধিমূল কত? ক. ২৬০০ খ. ২৬৪৫ গ. ২৬৫০ ঘ. ২৭০০ | উত্তর: খ | ব্যাখ্যা: C = ২০০০ × (১.১৫)² = ২০০০ × ১.৩২২৫ = ২৬৪৫ টাকা।


৭১. ২০% চক্রবৃদ্ধি সুদে ২৫০০ টাকার ৩ বছরের চক্রবৃদ্ধি সুদ কত? ক. ১৫০০ খ. ১৮০০ গ. ১৮২০ ঘ. ১৯০০ | উত্তর: গ | ব্যাখ্যা: C = ২৫০০ × (১.২)³ = ২৫০০ × ১.৭২৮ = ৪৩২০। সুদ = ৪৩২০ - ২৫০০ = ১৮২০ টাকা।


৭২. বার্ষিক ২% চক্রবৃদ্ধি সুদে ১০০০০ টাকার ২ বছরের সবৃদ্ধিমূল কত? ক. ১০৪০০ খ. ১০৪০৪ গ. ১০৪১০ ঘ. ১০৪২০ | উত্তর: খ | ব্যাখ্যা: C = ১০০০০ × (১.০২)² = ১০০০০ × ১.০৪০৪ = ১০৪০৪ টাকা।


৭৩. কোনো শহরে বর্তমান জনসংখ্যা ১০০০০। জনসংখ্যা বৃদ্ধির হার ৫% হলে ২ বছর পর জনসংখ্যা কত হবে? ক. ১১০০০ খ. ১১০২৫ গ. ১১০৫০ ঘ. ১১১০০ | উত্তর: খ | ব্যাখ্যা: চক্রবৃদ্ধি সূত্র: C = ১০০০০ × (১.০৫)² = ১০০০০ × ১.১০২৫ = ১১০২৫।


৭৪. একটি মেশিনের বর্তমান মূল্য ১০০০০ টাকা। মূল্য হ্রাসের হার ১০% হলে ২ বছর পর মেশিনের মূল্য কত হবে? ক. ৮০০০ খ. ৮১০০ গ. ৮৫০০ ঘ. ৯০০০ | উত্তর: খ | ব্যাখ্যা: হ্রাসের সূত্র C = P(১ - r/১০০)^n। C = ১০০০০ × (০.৯)² = ১০০০০ × ০.৮১ = ৮১০০ টাকা।


৭৫. বার্ষিক ১০% হার চক্রবৃদ্ধি সুদে কত টাকার ২ বছরের সবৃদ্ধিমূল ১২১০ টাকা হবে? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১১০০ | উত্তর: গ | ব্যাখ্যা: ১২১০ = P × (১.১)² ⇒ P = ১২১০ / ১.২১ = ১০০০ টাকা।


৭৬. ৫% চক্রবৃদ্ধি সুদে কত টাকার ২ বছরের সবৃদ্ধিমূল ৪৪১ টাকা হবে? ক. ৪০০ খ. ৪১০ গ. ৪২০ ঘ. ৪৩০ | উত্তর: ক | ব্যাখ্যা: ৪৪১ = P × (১.০৫)² ⇒ P = ৪৪১ / ১.১০২৫ = ৪০০ টাকা।


৭৭. কোনো শহরের জনসংখ্যা প্রতি বছর ১০% বৃদ্ধি পায়। বর্তমান জনসংখ্যা ১৩৩১ হলে ৩ বছর আগে জনসংখ্যা কত ছিল? ক. ৮০০ খ. ৯০০ গ. ১০০০ ঘ. ১১০০ | উত্তর: গ | ব্যাখ্যা: ১৩৩১ = P × (১.১)³ ⇒ P = ১৩৩১ / ১.৩৩১ = ১০০০।


