"ID","Source","Subject","Question (truncated)","Quality Score","Grade","Verdict","Issues","Fixes"
"17","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'আকসাই চীন' (Aksai Chin) অঞ্চলটি নিয়ে কোন দুটি দেশের মধ্যে সীমানা বিরোধ রয়েছে?","99","Excellent","CLEAN","0","0"
"18","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কোন চুক্তির মাধ্যমে যুক্তরাষ্ট্র ও সোভিয়েত ইউনিয়নের মধ্যে অ্যান্টি-ব্যালিস্টিক","99","Excellent","CLEAN","0","0"
"19","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'লাইন অব কন্ট্রোল' (Line of Control বা LoC) কোন দুটি দেশের মধ্যকার সামরিক নিয়ন্","99","Excellent","CLEAN","0","0"
"20","source-file","04_আন্তর্জাতিক_বিষয়াবলি","সিয়াটো (SEATO) জোটের সদর দপ্তর কোথায় ছিল?","99","Excellent","CLEAN","0","0"
"21","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'ডুরান্ড লাইন' (Durand Line) কোন দুটি দেশের মধ্যকার সীমানা নির্ধারণকারী রেখা?","99","Excellent","CLEAN","0","0"
"22","source-file","04_আন্তর্জাতিক_বিষয়াবলি","বিশ্বের অন্যতম শক্তিশালী বৈদেশিক গোয়েন্দা সংস্থা 'মোসাদ' (Mossad) কোন দেশের?","99","Excellent","CLEAN","0","0"
"23","source-file","04_আন্তর্জাতিক_বিষয়াবলি","নিচের কোন দেশটি পারমাণবিক অস্ত্র সম্প্রসারণ রোধ চুক্তিতে (NPT) কখনোই স্বাক্ষর কর","99","Excellent","CLEAN","0","0"
"24","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'আনজুস' (ANZUS) চুক্তি কোন সালে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"25","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'ব্লু ওয়াটার নেভি' (Blue Water Navy) বলতে কী বোঝায়?","99","Excellent","CLEAN","0","0"
"26","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'কেজিবি' (KGB) কোন দেশের সাবেক প্রধান গোয়েন্দা সংস্থা ছিল?","99","Excellent","CLEAN","0","0"
"27","source-file","04_আন্তর্জাতিক_বিষয়াবলি","৩৮তম সমান্তরাল রেখা (38th Parallel) কোন দুটি দেশের মধ্যে সীমানা নির্ধারণ করেছে?","99","Excellent","CLEAN","0","0"
"28","source-file","04_আন্তর্জাতিক_বিষয়াবলি","জাতিসংঘের সনদের কোন অধ্যায়ে 'যৌথ নিরাপত্তা' (Collective Security) এবং সামরিক পদ","99","Excellent","CLEAN","0","0"
"29","source-file","04_আন্তর্জাতিক_বিষয়াবলি","বিশ্বের তেল বাণিজ্যের অন্যতম গুরুত্বপূর্ণ 'চোক পয়েন্ট' (Choke point) হরমুজ প্রণ","99","Excellent","CLEAN","0","0"
"30","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ন্যাটো (NATO) সনদের ৫ নম্বর অনুচ্ছেদ (আর্টিকেল ৫) ইতিহাসে প্রথমবারের মতো কখন প্র","99","Excellent","CLEAN","0","0"
"31","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৯৫৫ সালে স্বাক্ষরিত ""বাগদাদ চুক্তি"" (Baghdad Pact) পরবর্তীতে কী নামে পরিচিতি লা","99","Excellent","CLEAN","0","0"
"32","source-file","04_আন্তর্জাতিক_বিষয়াবলি","দক্ষিণ-পূর্ব এশিয়ার জন্য গঠিত সামরিক জোট ""সিয়াটো"" (SEATO) গঠনের ভিত্তি ছিল কোন","99","Excellent","CLEAN","0","0"
"33","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""কোয়াড"" (QUAD) জোটের সদস্য দেশ নয় কোনটি?","99","Excellent","CLEAN","0","0"
"34","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কালেকটিভ সিকিউরিটি ট্রিটি অর্গানাইজেশন (CSTO) জোটের সদর দপ্তর কোথায় অবস্থিত?","99","Excellent","CLEAN","0","0"
"35","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইউরোপীয় ইউনিয়নের (EU) নিজস্ব সামরিক ও প্রতিরক্ষা নীতি কোনটি?","99","Excellent","CLEAN","0","0"
"36","source-file","04_আন্তর্জাতিক_বিষয়াবলি","আফ্রিকান ইউনিয়নের (AU) নিরাপত্তা ও শান্তিরক্ষা সংক্রান্ত সর্বোচ্চ সিদ্ধান্ত গ্র","99","Excellent","CLEAN","0","0"
"37","source-file","04_আন্তর্জাতিক_বিষয়াবলি","২০২৪ সালের মার্চ মাসে ন্যাটোর (NATO) ৩২তম সদস্য হিসেবে কোন দেশ আনুষ্ঠানিকভাবে যো","99","Excellent","CLEAN","0","0"
"38","source-file","04_আন্তর্জাতিক_বিষয়াবলি","নিচের কোন চুক্তিটি ""আফ্রিকান পারমাণবিক অস্ত্রমুক্ত অঞ্চল চুক্তি"" নামে পরিচিত?","99","Excellent","CLEAN","0","0"
"39","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""ওয়ারশ প্যাক্ট"" (Warsaw Pact) আনুষ্ঠানিকভাবে কবে বিলুপ্ত ঘোষণা করা হয়?","99","Excellent","CLEAN","0","0"
"40","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""ফাইভ আইজ"" (Five Eyes) জোটের গোড়াপত্তন হয়েছিল মূলত কোন চুক্তির মাধ্যমে?","99","Excellent","CLEAN","0","0"
"41","source-file","04_আন্তর্জাতিক_বিষয়াবলি","সাংহাই সহযোগিতা সংস্থা (SCO) সদস্য দেশগুলোর মধ্যে পরিচালিত নিয়মিত যৌথ সামরিক মহ","99","Excellent","CLEAN","0","0"
"42","source-file","04_আন্তর্জাতিক_বিষয়াবলি","অ্যান্টি-ব্যালিস্টিক মিসাইল (ABM) চুক্তি থেকে যুক্তরাষ্ট্র নিজেকে আনুষ্ঠানিকভাবে","99","Excellent","CLEAN","0","0"
"43","source-file","04_আন্তর্জাতিক_বিষয়াবলি","পশ্চিম আফ্রিকার দেশগুলোর অর্থনৈতিক জোট ইকোয়াস (ECOWAS)-এর সামরিক হস্তক্ষেপকারী ","99","Excellent","CLEAN","0","0"
"44","source-file","04_আন্তর্জাতিক_বিষয়াবলি","পারমাণবিক অস্ত্র সম্প্রসারণ রোধ চুক্তির (NPT) পর্যালোচনা সম্মেলন (Review Confere","99","Excellent","CLEAN","0","0"
"45","source-file","04_আন্তর্জাতিক_বিষয়াবলি","নিচের কোনটি দক্ষিণ প্রশান্ত মহাসাগরীয় অঞ্চলকে পারমাণবিক অস্ত্রমুক্ত করার চুক্তি","99","Excellent","CLEAN","0","0"
"46","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""অকাস"" (AUKUS) চুক্তির আওতায় অস্ট্রেলিয়া কোন দেশের প্রযুক্তিতে পারমাণবিক সাবমে","99","Excellent","CLEAN","0","0"
"47","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""রিও চুক্তি"" (Rio Pact) নামে পরিচিত ইন্টার-আমেরিকান ট্রিটি অব রেসিপ্রোকাল অ্যাসি","99","Excellent","CLEAN","0","0"
"48","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কমপ্রিহেনসিভ নিউক্লিয়ার-টেস্ট-ব্যান ট্রিটি অর্গানাইজেশন (CTBTO) এর প্রস্তুতিমূল","99","Excellent","CLEAN","0","0"
"49","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র ও জাপানের মধ্যে বর্তমান ""পারস্পরিক সহযোগিতা ও নিরাপত্তা চুক্তি"" (Tr","99","Excellent","CLEAN","0","0"
"50","source-file","04_আন্তর্জাতিক_বিষয়াবলি","স্ট্র্যাটেজিক আর্মস লিমিটেশন টকস-২ (SALT II) চুক্তি কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"51","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইন্টারমিডিয়েট-রেঞ্জ নিউক্লিয়ার ফোর্সেস (INF) চুক্তি কত সালে স্বাক্ষরিত হয়েছিল","99","Excellent","CLEAN","0","0"
"52","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কৌশলগত অস্ত্র হ্রাস চুক্তি বা স্টার্ট-১ (START I) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"53","source-file","04_আন্তর্জাতিক_বিষয়াবলি","স্টার্ট-২ (START II) চুক্তি কোন সালে স্বাক্ষরিত হয়েছিল?","99","Excellent","CLEAN","0","0"
"54","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""ট্রিটি অব মস্কো"" বা সর্ট (SORT) চুক্তি কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"55","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র ও রাশিয়ার মধ্যকার ""নিউ স্টার্ট"" (New START) চুক্তির মেয়াদ সর্বশেষ","99","Excellent","CLEAN","0","0"
"56","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কনভেনショナル আর্মড ফোর্সেস ইন ইউরোপ (CFE) চুক্তি কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"57","source-file","04_আন্তর্জাতিক_বিষয়াবলি","উন্মুক্ত আকাশ চুক্তি বা ""ওপেন স্কাইজ ট্রিটি"" (Open Skies Treaty) কবে স্বাক্ষরিত ","99","Excellent","CLEAN","0","0"
"58","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র আনুষ্ঠানিকভাবে কবে ""ওপেন স্কাইজ ট্রিটি"" থেকে নিজেকে প্রত্যাহার করে ","99","Excellent","CLEAN","0","0"
"59","source-file","04_আন্তর্জাতিক_বিষয়াবলি","আউটার স্পেস ট্রিটি (Outer Space Treaty) কত সালে কার্যকর হয়?","99","Excellent","CLEAN","0","0"
"60","source-file","04_আন্তর্জাতিক_বিষয়াবলি","সিবেড আর্মস কন্ট্রোল ট্রিটি (Seabed Arms Control Treaty) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"61","source-file","04_আন্তর্জাতিক_বিষয়াবলি","অ্যান্টার্কটিকা চুক্তি (Antarctic Treaty) অনুসারে অ্যান্টার্কটিকা মহাদেশকে কবে অ","99","Excellent","CLEAN","0","0"
"62","source-file","04_আন্তর্জাতিক_বিষয়াবলি","জীবাণু ও বিষাক্ত অস্ত্র কনভেনশন (BWC) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"63","source-file","04_আন্তর্জাতিক_বিষয়াবলি","রাসায়নিক অস্ত্র নিবারণ চুক্তি (CWC) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"64","source-file","04_আন্তর্জাতিক_বিষয়াবলি","নির্দিষ্ট প্রচলিত অস্ত্র কনভেনশন (CCW) কত সালে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"65","source-file","04_আন্তর্জাতিক_বিষয়াবলি","অ্যান্টি-পার্সোনেল ল্যান্ডমাইন ব্যবহার, উৎপাদন ও মজুত নিষিদ্ধকারী চুক্তিটি কী না","99","Excellent","CLEAN","0","0"
"66","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ক্লাস্টার মিউনিশন্স কনভেনশন (CCM) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"67","source-file","04_আন্তর্জাতিক_বিষয়াবলি","বৈশ্বিক অস্ত্র বাণিজ্য নিয়ন্ত্রণের জন্য আর্মস ট্রেড ট্রিটি (ATT) কবে জাতিসংঘ সা","99","Excellent","CLEAN","0","0"
"68","source-file","04_আন্তর্জাতিক_বিষয়াবলি","পারমাণবিক অস্ত্র নিষিদ্ধকরণ চুক্তি (TPNW) কবে জাতিসংঘে গৃহীত হয়?","99","Excellent","CLEAN","0","0"
"69","source-file","04_আন্তর্জাতিক_বিষয়াবলি","আংশিক পারমাণবিক পরীক্ষা নিষিদ্ধকরণ চুক্তি (PTBT) কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"70","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""সেমিপ্যালাটিনস্ক চুক্তি"" (Treaty of Semipalatinsk) কোন অঞ্চলকে পারমাণবিক অস্ত্র","99","Excellent","CLEAN","0","0"
"71","source-file","04_আন্তর্জাতিক_বিষয়াবলি","দক্ষিণ-পূর্ব এশিয়াকে পারমাণবিক অস্ত্রমুক্ত করার চুক্তি কোনটি?","99","Excellent","CLEAN","0","0"
"72","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ফাইভ পাওয়ার ডিফেন্স অ্যারেঞ্জমেন্টস (FPDA)-এর সদস্য নয় কোন দেশটি?","99","Excellent","CLEAN","0","0"
"73","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র ও দক্ষিণ কোরিয়ার মধ্যে পারস্পরিক প্রতিরক্ষা চুক্তি (Mutual Defense","99","Excellent","CLEAN","0","0"
"74","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র ও ফিলিপাইনের মধ্যকার পারস্পরিক প্রতিরক্ষা চুক্তিটি কবে স্বাক্ষরিত হ","99","Excellent","CLEAN","0","0"
"75","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ন্যাটো সনদের কোন অনুচ্ছেদে সদস্য দেশগুলোর মধ্যে যেকোনো হুমকি মোকাবিলায় ""পারস্পর","99","Excellent","CLEAN","0","0"
"76","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ন্যাটো (NATO) এর সদর দপ্তর বর্তমানে কোথায় অবস্থিত?","99","Excellent","CLEAN","0","0"
"77","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৯৪৯ সালে যখন ন্যাটো গঠিত হয়, তখন এর প্রতিষ্ঠাতা সদস্য রাষ্ট্রের সংখ্যা কত ছিল?","99","Excellent","AUTO","0","1"
"78","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ওয়ারশ প্যাক্ট (Warsaw Pact) জোটের সদর দপ্তর কোথায় অবস্থিত ছিল?","99","Excellent","CLEAN","0","0"
"79","source-file","04_আন্তর্জাতিক_বিষয়াবলি","জোট নিরপেক্ষ আন্দোলন (NAM) আনুষ্ঠানিকভাবে কবে আত্মপ্রকাশ করে?","99","Excellent","CLEAN","0","0"
"80","source-file","04_আন্তর্জাতিক_বিষয়াবলি","দক্ষিণ-পূর্ব এশিয়া চুক্তি সংস্থা (SEATO) কবে আনুষ্ঠানিকভাবে বিলুপ্ত হয়?","99","Excellent","CLEAN","0","0"
"81","source-file","04_আন্তর্জাতিক_বিষয়াবলি","বাগদাদ চুক্তি বা সেন্টো (CENTO) আনুষ্ঠানিকভাবে কবে বিলুপ্ত ঘোষণা করা হয়?","99","Excellent","CLEAN","0","0"
"82","source-file","04_আন্তর্জাতিক_বিষয়াবলি","আরব লিগের সদস্য দেশগুলোর মধ্যে যৌথ প্রতিরক্ষা এবং অর্থনৈতিক সহযোগিতা চুক্তি কবে ","99","Excellent","CLEAN","0","0"
"83","source-file","04_আন্তর্জাতিক_বিষয়াবলি","উপসাগরীয় সহযোগিতা পরিষদ (GCC) এর যৌথ সামরিক বাহিনীর নাম কী?","99","Excellent","CLEAN","0","0"
"84","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্র ও কানাডার যৌথ বিমান প্রতিরক্ষা ব্যবস্থা ""নোরাড"" (NORAD) কবে প্রতিষ্","99","Excellent","CLEAN","0","0"
"85","source-file","04_আন্তর্জাতিক_বিষয়াবলি","২০০১ সালের ৯/১১ হামলার পর ল্যাটিন আমেরিকার দেশগুলো যুক্তরাষ্ট্রকে সমর্থন জানাতে ","99","Excellent","CLEAN","0","0"
"86","source-file","04_আন্তর্জাতিক_বিষয়াবলি","অর্গানাইজেশন অব আফ্রিকান ইউনিটি (OAU) কবে প্রতিষ্ঠিত হয়, যার মূল লক্ষ্য ছিল আফ্","99","Excellent","CLEAN","0","0"
"87","source-file","04_আন্তর্জাতিক_বিষয়াবলি","অর্গানাইজেশন অব আফ্রিকান ইউনিটি (OAU) আনুষ্ঠানিকভাবে কবে ""আফ্রিকান ইউনিয়ন"" (AU)","95","Excellent","CLEAN","0","0"
"88","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ব্রিকস (BRICS) জোটের উদ্যোগে ২০১৪ সালে প্রতিষ্ঠিত ""নিউ ডেভেলপমেন্ট ব্যাংক"" (NDB)","99","Excellent","CLEAN","0","0"
"89","source-file","04_আন্তর্জাতিক_বিষয়াবলি","সাংহাই সহযোগিতা সংস্থা (SCO) আনুষ্ঠানিকভাবে কবে আত্মপ্রকাশ করে?","99","Excellent","CLEAN","0","0"
"90","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কোন সালে ভারত এবং পাকিস্তান সাংহাই সহযোগিতা সংস্থার (SCO) পূর্ণাঙ্গ সদস্যপদ লাভ ","99","Excellent","CLEAN","0","0"
"91","source-file","04_আন্তর্জাতিক_বিষয়াবলি","২০২৩ সালে সাংহাই সহযোগিতা সংস্থার (SCO) নবম পূর্ণাঙ্গ সদস্য হিসেবে কোন দেশ যোগদা","99","Excellent","CLEAN","0","0"
"92","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কালেকটিভ সিকিউরিটি ট্রিটি অর্গানাইজেশন (CSTO) এর সনদের কোন অনুচ্ছেদে ন্যাটোর ""আর","99","Excellent","CLEAN","0","0"
"93","source-file","04_আন্তর্জাতিক_বিষয়াবলি","২০২২ সালের জানুয়ারি মাসে সরকারবিরোধী সহিংস বিক্ষোভ দমনে সিএসটিও (CSTO) শান্তিরক","99","Excellent","CLEAN","0","0"
"94","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৯৮৬ সালে যুক্তরাষ্ট্র আনজুস (ANZUS) চুক্তির আওতায় কোন দেশের প্রতি তার নিরাপত্ত","99","Excellent","CLEAN","0","0"
"95","source-file","04_আন্তর্জাতিক_বিষয়াবলি","দ্বিতীয় বিশ্বযুদ্ধের পর গোয়েন্দা তথ্য আদান-প্রদানের জন্য গঠিত ""ইউকেইউএসএ"" (UKU","99","Excellent","CLEAN","0","0"
"96","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""কোয়াড"" (QUAD) জোট যা ২০০৭ সালে প্রাথমিকভাবে গঠিত হয়ে পরে নিষ্ক্রিয় হয়ে যায়","99","Excellent","CLEAN","0","0"
"97","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""অকাস"" (AUKUS) নিরাপত্তা জোট কবে আনুষ্ঠানিকভাবে ঘোষণা করা হয়?","99","Excellent","CLEAN","0","0"
"98","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ফাইভ আইজ (Five Eyes) জোটের সম্প্রসারণ বা ""ফাইভ আইজ প্লাস"" কাঠামোর জন্য কোন দেশগু","99","Excellent","CLEAN","0","0"
"99","source-file","04_আন্তর্জাতিক_বিষয়াবলি","""আইটুইউটু"" (I2U2) জোটের সদস্য দেশগুলো কী কী?","99","Excellent","CLEAN","0","0"
"100","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইসরায়েলের সাথে সম্পর্ক স্বাভাবিকীকরণের জন্য ২০২০ সালে স্বাক্ষরিত ""আব্রাহাম চুক্","99","Excellent","CLEAN","0","0"
"101","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইসরায়েল ও মিশরের মধ্যে ঐতিহাসিক ""ক্যাম্প ডেভিড চুক্তি"" (Camp David Accords) কবে","99","Excellent","CLEAN","0","0"
"102","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ক্যাম্প ডেভিড চুক্তির ধারাবাহিকতায় মিশর ও ইসরায়েলের মধ্যে আনুষ্ঠানিক শান্তি চু","99","Excellent","CLEAN","0","0"
"103","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইসরায়েল এবং জর্ডানের মধ্যে আনুষ্ঠানিক শান্তি চুক্তি কবে স্বাক্ষরিত হয়?","99","Excellent","CLEAN","0","0"
"104","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ফিলিস্তিনি কর্তৃপক্ষ (PA) গঠনে সহায়তাকারী ""অসলো-১ চুক্তি"" (Oslo I Accord) আনুষ্","99","Excellent","CLEAN","0","0"
"105","source-file","04_আন্তর্জাতিক_বিষয়াবলি","বসনিয়া ও হার্জেগোভিনার তিন বছরব্যাপী রক্তক্ষয়ী যুদ্ধের অবসান ঘটিয়েছিল কোন চুক","99","Excellent","CLEAN","0","0"
"106","source-file","04_আন্তর্জাতিক_বিষয়াবলি","উত্তর আয়ারল্যান্ডের দীর্ঘ সংঘাতের অবসান ঘটিয়ে ১৯৯৮ সালে কোন শান্তি চুক্তি স্বা","99","Excellent","CLEAN","0","0"
"107","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৪৯৪ সালে স্বাক্ষরিত ""তোরদেসিয়াস চুক্তি"" (Treaty of Tordesillas) ইউরোপের কোন দু","99","Excellent","CLEAN","0","0"
"108","source-file","04_আন্তর্জাতিক_বিষয়াবলি","নেপোলিয়ন বোনাপার্টের পতনের পর ইউরোপের রাজনৈতিক সীমানা পুনর্নির্ধারণ এবং দীর্ঘস্","99","Excellent","CLEAN","0","0"
"109","source-file","04_আন্তর্জাতিক_বিষয়াবলি","প্রথম বিশ্বযুদ্ধের পর আন্তর্জাতিক শান্তি ও নিরাপত্তা বজায় রাখার জন্য ভার্সাই চু","99","Excellent","CLEAN","0","0"
"110","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৯২৮ সালে স্বাক্ষরিত কোন চুক্তির মাধ্যমে সদস্য রাষ্ট্রগুলো জাতীয় নীতির হাতিয়ার","99","Excellent","CLEAN","0","0"
"111","source-file","04_আন্তর্জাতিক_বিষয়াবলি","জাতিসংঘের সনদ (UN Charter) আনুষ্ঠানিকভাবে কবে স্বাক্ষরিত হয়?","95","Excellent","CLEAN","0","0"
"112","source-file","04_আন্তর্জাতিক_বিষয়াবলি","পারমাণবিক অস্ত্র সম্প্রসারণ রোধ চুক্তির (NPT) কোন অনুচ্ছেদে বলা হয়েছে যে, জাতীয","99","Excellent","CLEAN","0","0"
"113","source-file","04_আন্তর্জাতিক_বিষয়াবলি","আন্তর্জাতিক পারমাণবিক শক্তি সংস্থা (IAEA) জাতিসংঘের অধীনে কবে প্রতিষ্ঠিত হয়?","99","Excellent","CLEAN","0","0"
"114","source-file","04_আন্তর্জাতিক_বিষয়াবলি","রাসায়নিক অস্ত্র নিষিদ্ধকরণ সংস্থা বা ওপিসিডব্লিউ (OPCW)-এর সদর দপ্তর কোথায় অবস","99","Excellent","CLEAN","0","0"
"115","source-file","04_আন্তর্জাতিক_বিষয়াবলি","সিরিয়ায় রাসায়নিক অস্ত্র ধ্বংসের কার্যক্রমে গুরুত্বপূর্ণ ভূমিকা পালনের জন্য ওপ","99","Excellent","CLEAN","0","0"
"116","source-file","04_আন্তর্জাতিক_বিষয়াবলি","মিসাইল টেকনোলজি কন্ট্রোল রেজিম (MTCR) কবে প্রতিষ্ঠিত হয়?","99","Excellent","CLEAN","0","0"
"117","source-file","04_আন্তর্জাতিক_বিষয়াবলি","প্রচলিত অস্ত্র এবং দ্বৈত-ব্যবহারযোগ্য প্রযুক্তি (Dual-use technology) রপ্তানি নি","99","Excellent","CLEAN","0","0"
"118","source-file","04_আন্তর্জাতিক_বিষয়াবলি","রাসায়নিক ও জীবাণু অস্ত্র তৈরিতে ব্যবহৃত হতে পারে এমন রাসায়নিক উপাদান ও প্রযুক্","99","Excellent","CLEAN","0","0"
"119","source-file","04_আন্তর্জাতিক_বিষয়াবলি","১৯৭৪ সালে ভারতের প্রথম পারমাণবিক অস্ত্র পরীক্ষার (স্মাইলিং বুদ্ধ) প্রতিক্রিয়ায়","99","Excellent","CLEAN","0","0"
"120","source-file","04_আন্তর্জাতিক_বিষয়াবলি","কমপ্রিহেনসিভ নিউক্লিয়ার-টেস্ট-ব্যান ট্রিটি (CTBT) কার্যকর হওয়ার জন্য ""অ্যানেক্","99","Excellent","CLEAN","0","0"
