Senior Officer (General) 2019 [MCQ]
1. Children must be ______ with love and care. a. brought up | b. brought about | c. brought for | d. brought as Ans. a. brought up ব্যাখ্যা: Bring up with something অর্থ কোনো কিছু দিয়ে লালন পালন করা। Up যোগে বাক্যটির বাংলা : ছেলেমেয়েরা অবশ্যই ভালোবাসা এবং আদর দিয়ে লালিত-পালিত হওয়া উচিত।
12. Find the correctly spelt word a. Capricious | b. Carisuous | c. Caprisious | d. Cappricious Ans. a. Capricious ব্যাখ্যা: Capricious (খেয়ালি; চপল; অস্থিরমতি) হলো সঠিক বানানযুক্ত word।
13. Which of the following were raisins not used as? a. medicine | b. weapons | c. money | d. sweetener Ans. b. weapons
14. Golden raisins were discovered. a. before dark raisins | b. passage doesn't say | c. after dark raisins | d. None of these Ans. c. after dark raisins
15. What would be the best title for this passage? a. A History of Raisins | b. Healthy Snacks | c. Discovery of Raisin | d. None of these Ans. a. A History of Raisins
16. Which of the following has the same meaning as the word 'variety' in the sentence below? Later, a golden 'variety' of raisin was made by treating grapes with a chemical... a. sale | b. opposite of | c. type of | d. fruit Ans. c. type of
17. 'পদ্মার পলিদ্বীপ' কার রচনা? ক. আবু ইসহাক | খ. জহির রায়হান | গ. মাহবুবুল আলম | ঘ. জাহানারা ইমাম Ans. ক. আবু ইসহাক ব্যাখ্যা: আবু ইসহাক রচিত উপন্যাস: 'সূর্য-দীঘল বাড়ী', 'পদ্মার পলিদ্বীপ', 'জাল' এবং গল্প: 'হারেম', 'মহাপতঙ্গ'।
18. 'সোনালী কাবিন'-এর রচয়িতা কে? ক. হাসান হাফিজুর রহমান | খ. হুমায়ুন আজাদ | গ. আল মাহমুদ | ঘ. শক্তি চট্টোপাধ্যায় Ans. গ. আল মাহমুদ ব্যাখ্যা: 'সোনালী কাবিন' আল মাহমুদ রচিত কাব্যগ্রন্থ। তার আরও কয়েকটি কাব্যগ্রন্থ: লোক লোকান্তর, কালের কলস, দোয়েল, দয়িতা, অদৃষ্টবাদীদের রান্নাবান্না, বখতিয়ারের ঘোড়া ইত্যাদি।
19. 'অপু' ও 'দুর্গা' চরিত্র দুটি কোন উপন্যাসের? ক. দিবারাত্রির কাব্য | খ. পথের পাঁচালী | গ. নৌকাডুবি | ঘ. বোবাকাহিনী Ans. খ. পথের পাঁচালী ব্যাখ্যা: 'পথের পাঁচালী' বিভূতিভূষণের প্রথম উপন্যাস। এই উপন্যাসের পটভূমিতে আছে বাংলাদেশের গ্রাম ও তার পরিচিত মানুষের জীবন। 'পথের পাঁচালী'র উল্লেখযোগ্য চরিত্র: অপু, দুর্গা, ইন্দির ঠাকরুন, সর্বজয়া।
20. 'পায়ের আওয়াজ পাওয়া যায়' নাটকের পটভূমি কী? ক. ভাষা আন্দোলন | খ. দেশভাগ | গ. সিপাহী যুদ্ধ | ঘ. মুক্তিযুদ্ধ Ans. ঘ. মুক্তিযুদ্ধ ব্যাখ্যা: মুক্তিযুদ্ধের পটভূমিতে রচিত সৈয়দ শামসুল হকের বিখ্যাত কাব্যনাট্য হচ্ছে 'পায়ের আওয়াজ পাওয়া যায় (১৯৭৬)। এটি বাংলাদেশের মুক্তিযুদ্ধ নিয়ে রচিত তার সর্বাধিক সার্থক ও মঞ্চসফল নাটক।
21. নিচের কোন বানানটি শুদ্ধ? ক. নিশিথিনি | খ. নিশীথিনী | গ. নীশিথিনী | ঘ. নিশিথিনী Ans. খ. নিশীথিনী ব্যাখ্যা: নিশীথ + ইন্ + ঈ = নিশীথিনী শব্দের অর্থ গভীর রাত, রাত, রজনি।
22. নিচের কোন বানানটি অশুদ্ধ? ক. দুরাকাঙ্ক্ষা | খ. দুরাচার | গ. দুরাশয় | ঘ. দুরাবস্থা Ans. ঘ. দুরাবস্থা ব্যাখ্যা: পূর্বপদের শেষে যদি অ/আ ভিন্ন অন্য স্বরধ্বনির পর বিসর্গ (র-জাত) থাকে এবং পরপদের প্রথমে যদি স্বরধ্বনি থাকে তবে সন্ধির ফলে বিসর্গ 'র' হয়ে যায় এবং পরের স্বরধ্বনির সঙ্গে যুক্ত হয়। যেমন— দুঃ + অবস্থা = দুরবস্থা, চতুঃ + অঙ্গ = চতুরঙ্গ।
23. ন্যায় শব্দের বিশেষণ- ক. নীতিবাদ | খ. ন্যায্য | গ. ন্যায়সঙ্গত | ঘ. ন্যায়কৃত Ans. খ. ন্যায্য ব্যাখ্যা: 'ন্যায়' বিশেষ্য পদ। এর বিশেষণ পদ ন্যায্য, ন্যায়সংগত।
24. ণ-ত্ব বিধি সাধারণত কোন শব্দে প্রযোজ্য? ক. বিদেশি | খ. দেশি | গ. তদ্ভব | ঘ. তৎসম Ans. ঘ. তৎসম ব্যাখ্যা: বাংলা ভাষায় তৎসম শব্দের বানানে মূর্ধন্য 'ণ' ব্যবহার হয়। অন্যদিকে, দেশি, তদ্ভব ও বিদেশি শব্দের বানানে মূর্ধন্য-ণ এর ব্যবহার হয় না।
25. 'বমাল' শব্দের 'ব' উপসর্গ কী অর্থ নির্দেশ করে? ক. সহিত | খ. বাইরে | গ. প্রতি | ঘ. অধীন Ans. ক. সহিত ব্যাখ্যা: 'ব' ফারসি উপসর্গ। এটি 'সহিত' অর্থে ব্যবহৃত হয়। যেমন- বমাল, বনাম, বকলম।
26. 'শিক্ষায় আমাদের আগ্রহ বাড়ছে'- শিক্ষায় কোন কারক? ক. কর্ম | খ. করণ | গ. কর্তৃ | ঘ. অধিকরণ Ans. ঘ. অধিকরণ ব্যাখ্যা: ক্রিয়া সম্পাদনের যন্ত্র, উপকরণ বা সহায়ককেই করণ কারক বলে। ক্রিয়াপদের সঙ্গে 'কীসের দ্বারা' বা 'কী উপায়ে' প্রশ্ন করলে যে উত্তরটি পাওয়া যায়, তা-ই করণ কারক। যেমন মন দিয়া কর সবে বিদ্যা উপার্জন।
27. নিচের কোনটির পুরুষবাচক রূপ নেই? ক. কুলটা | খ. বেহান | গ. ঠাকুরঝি | ঘ. ননদ Ans. ক. কুলটা ব্যাখ্যা: যে স্ত্রীবাচক শব্দগুলোর পুরুষবাচক শব্দ নেই, সেগুলোকে বলে নিত্য স্ত্রীবাচক শব্দ। যেমন— সতিন, অর্ধাঙ্গিনী, কুলটা, বিধবা, অসূর্যম্পশ্যা, অরক্ষণীয়া, সপত্নী ইত্যাদি।
28. 'প্রিয়ংবদা' শব্দটি কোন সমাস? ক. বহুব্রীহি | খ. রূপক কর্মধারয় | গ. ষষ্ঠী তৎপুরুষ | ঘ. উপপদ তৎপুরুষ Ans. ঘ. উপপদ তৎপুরুষ ব্যাখ্যা: যে পদের পরবর্তী ক্রিয়ামূলের... উপপদের যে সমাস হয়, তাকে বলে উপপদ তৎপুরুষ সমাস। যেমন প্রিয়ম (প্রিয় বাক্য) বলে যে = প্রিয়ংবদা। এরূপ-সত্যবাদী, পকেটমার, ছারপোকা ইত্যাদি।
29. 'নবোঢ়া' শব্দের সন্ধিবিচ্ছেদ কোনটি? ক. নব + ঊঢ়া | খ. নবঃ + ঊঢ়া | গ. নবো + ঊঢ়া | ঘ. নব + উয়া Ans. ক. নব + ঊঢ়া ব্যাখ্যা: অ-কার কিংবা আ-কারের পর উ-কার কিংবা ঊ-কার থাকলে উভয় মিলে ও-কার হয়, ও-কার পূর্ববর্তী ব্যঞ্জনে যুক্ত হয়। যেমন— নব + ঊঢ়া = নবোঢ়া।
30. 'বক্তব্য'-এর সঠিক প্রকৃতি-প্রত্যয় কোনটি? ক. বক্ত + তব্য | খ. বক্ত + অব্য | গ. বচ্ + তব্য | ঘ. বক্তব্য Ans. গ. বচ্ + তব্য ব্যাখ্যা: 'তব্য' প্রত্যয় যোগে গঠিত শব্দ বচ্ + তব্য = বক্তব্য, দা + তব্য = দাতব্য, গম্ + তব্য = গন্তব্য ইত্যাদি।
31. 'নালিশটা অযৌক্তিক' কোন ধরনের বাক্য? ক. নেতিবাচক | খ. অস্তিবাচক | গ. অনুজ্ঞাবাচক | ঘ. প্রশ্নবাচক Ans. খ. অস্তিবাচক ব্যাখ্যা: যে বাক্যে কোনো ঘটনা, ভাব বা বক্তব্যের অস্তিত্ব বা হ্যাঁ-সূচক অর্থ প্রকাশ পায়, তাকে অস্তিবাচক বাক্য বলে। যেমন- নালিশটা অযৌক্তিক। যে বাক্যে কোনো ঘটনায়, কাজে বা ভাবে অস্বীকৃতি; অনস্তিত্ব, নিষেধ বা না-সূচক অর্থ বোঝায় তাকে নেতিবাচক বাক্য বলে। যেমন- নালিশটা যৌক্তিক নয়।
32. 'যে বন হিংস্র জন্তুতে পরিপূর্ণ'-এককথায় কি হবে? ক. অরণ্য | খ. জনপদ | গ. দুর্গম | ঘ. শ্বাপদসংকুল Ans. ঘ. শ্বাপদসংকুল ব্যাখ্যা: যে বন হিংস্র জন্তুতে পরিপূর্ণ = শ্বাপদসংকুল। যা কষ্টে লাভ করা যায় = দুর্লভ।
33. Which one of the following numbers can be removed from the set S = {0, 2, 4, 5, 9} without changing the average of set S? a. 2 | b. 4 | c. 5 | d. 0 Ans. b. 4 ব্যাখ্যা: S এর গড় = (0 + 2 + 4 + 5 + 9) / 5 = 20 / 5 = 4। ∴ S সেটটি থেকে 4 সংখ্যাটি অপসারণ করলে সেটের গড় অপরিবর্তিত থাকবে।
34. Find the least number of five digits which when divided by 40, 60 and 75, leave remainders 31, 51 and 66 respectively. a. 10196 | b. 10199 | c. 10197 | d. 10191 Ans. d. 10191 ব্যাখ্যা: এখানে, 40 - 31 = 9, 60 - 51 = 9, 75 - 66 = 9। সুতরাং, নির্ণেয় সংখ্যাটি হবে 40, 60 এবং 75 এর ল.সা.গু. এর গুণিতক অপেক্ষা 9 কম। এখন 40, 60 এবং 75 এর ল.সা.গু. = 600। ৫ অঙ্কের ক্ষুদ্রতম সংখ্যা = 10000। 10000 কে 600 দ্বারা ভাগ করলে ভাগশেষ থাকে 400। ∴ 600 এর পরবর্তী গুণিতক = 10000 + (600 - 400) = 10200। ∴ নির্ণেয় সংখ্যাটি = 10200 - 9 = 10191।
35. A trader sells his goods at a discount 20%. He still makes a profit of 25%. If he sells the goods at the marked price only, his profit will be: a. 56.25% | b. 25.56% | c. 50.25% | d. 54.25% Ans. a. 56.25% ব্যাখ্যা: ধরি, দ্রব্যটির বাজার মূল্য 100 টাকা। ∴ 20% ছাড়ে, দ্রব্যটির বিক্রয়মূল্য = (100 - 20) = 80 টাকা। ধরি, দ্রব্যটির উৎপাদন মূল্য x টাকা। ∴ x এর 125% = 80 ⇒ x = (80 × 100) / 125 = 64 টাকা। 64 টাকায় লাভ হয় = (100 - 64) বা 36 টাকা। ∴ শতকরা লাভ = (36 × 100) / 64 % = 56.25%
36. The cost price of 19 articles is same as the selling price of 29 articles. What is loss percentage? a. 52.30% | b. 35.00% | c. 34.48% | d. 30.00% Ans. c. 34.48% ব্যাখ্যা: ধরি, 19 টি আর্টিক্যালের ক্রয়মূল্য x টাকা। 1 টি আর্টিক্যালের ক্রয়মূল্য x / 19 টাকা। আবার, 29 টি আর্টিক্যালের বিক্রয়মূল্য x টাকা। 1 টি আর্টিক্যালের বিক্রয়মূল্য x / 29 টাকা। ক্ষতি হয় = (x/19 - x/29) = 10x / 551 টাকা। ∴ শতকরা ক্ষতি = [(10x / 551) / (x / 19)] × 100% = 34.48%
37. While working 7 hour a day, A alone can complete a piece of work in 6 days and B alone in 8 days. In what time would they complete it together, 8 hour a day? a. 3.6 days | b. 3 days | c. 4 days | d. 5 days Ans. b. 3 days ব্যাখ্যা: A 7 ঘণ্টায় 1 দিনে করে = 1/6 অংশ। A 1 ঘণ্টায় 1 দিনে করে = 1/42 অংশ। A 8 ঘণ্টায় 1 দিনে করে = 8/42 = 4/21 অংশ। একইভাবে, B 8 ঘণ্টায় 1 দিনে করে = (8 × 1) / (7 × 8) = 1/7 অংশ। ∴ A ও B একত্রে 8 ঘণ্টায় 1 দিনে করে = 4/21 + 1/7 = 7/21 = 1/3 অংশ। ∴ তারা একত্রে সম্পূর্ণ কাজ করে = 3 দিনে।
38. There is provision of food in fort for 1200 soldiers for 60 days. After 15 days, 200 soldiers leave the fort. Remaining food will last for how many days? a. 56 days | b. 50 days | c. 48 days | d. 54 days Ans. d. 54 days ব্যাখ্যা: অবশিষ্ট দিন = (60 - 15) = 45 দিন এবং লোক = (1200 - 200) = 1000 জন। ∴ 1200 জনের খাবার আছে 45 দিনের। 1 জনের খাবার আছে (45 × 1200) দিনের। ∴ 1000 জনের খাবার আছে (45 × 1200) / 1000 = 54 দিনের।
39. If 2 men or 3 women or 4 boys can do a piece of work in 52 days, then the same piece of work will be done by 1 man, 1 woman and 1 boy in- a. 48 days | b. 36 days | c. 45 days | d. 50 days Ans. a. 48 days ব্যাখ্যা: 2 জন লোকের কাজ = 4 জন বালকের কাজ। ∴ 1 জন লোকের কাজ = 2 জন বালকের কাজ। আবার, 3 জন মহিলার কাজ = 4 জন বালকের কাজ। ∴ 1 জন মহিলার কাজ = 4/3 জন বালকের কাজ। ∴ 1 জন লোক + 1 জন মহিলা + 1 জন বালকের কাজ = (2 + 4/3 + 1) জন বালকের কাজ = 13/3 জন বালকের কাজ। 4 জন বালক 1 অংশ করে 52 দিনে। ∴ 13/3 জন বালক কাজ করে = (52 × 4) / (13/3) = 48 দিনে।
40. In a zoo, there are Rabbits and Pigeons. If heads are counted, there are 200 and if legs are counted, there are 580. How many pigeons are there? a. 100 | b. 90 | c. 110 | d. 120 Ans. c. 110 ব্যাখ্যা: ধরি, কবুতরের সংখ্যা = x টি। ∴ খরগোশের সংখ্যা = (200 - x) টি। প্রশ্নমতে, 2x + 4(200 - x) = 580 ⇒ 2x + 800 - 4x = 580 ⇒ 2x = 220 ⇒ x = 110।
41. P and Q invested in a business. The profit earned was divided in the ratio 2: 3. If P invested Tk. 40000, the amount invested by Q is- a. Tk. 40000 | b. Tk. 50000 | c. Tk. 70000 | d. Tk. 60000 Ans. d. Tk. 60000 ব্যাখ্যা: ধরি, Q বিনিয়োগ করেন = x টাকা। প্রশ্নমতে, 40000 : x = 2 : 3 ⇒ x = (40000 × 3) / 2 = 60000 টাকা।
42. A, B, C subscribe Tk. 50,000 for a business. A subscribes Tk. 4000 more than B and B Tk. 5000 more than C. Out of a total profit of Tk. 35,000, A receives- a. Tk. 14,700 | b. Tk. 1,900 | c. Tk. 13,600 | d. Tk. 8400 Ans. a. Tk. 14,700 ব্যাখ্যা: ধরি, C বিনিয়োগ করেন = x টাকা। B বিনিয়োগ করেন (x + 5000) টাকা এবং A বিনিয়োগ করেন (x + 9000) টাকা। ∴ x + x + 5000 + x + 9000 = 50000 ⇒ 3x = 36000 ⇒ x = 12000। A, B এবং C এর বিনিয়োগের অনুপাত = 21000 : 17000 : 12000 = 21 : 17 : 12। ∴ A এর লভ্যাংশ = 35000 × (21 / 50) টাকা = 14700 টাকা।
43. The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is- a. 2.3 m | b. 9.2 m | c. 4.6 m | d. 7.8 m Ans. b. 9.2 m ব্যাখ্যা: আমরা জানি, cos 60° = ভূমির দৈর্ঘ্য / মইয়ের দৈর্ঘ্য ⇒ cos 60° = 4.6 / AB ⇒ 1/2 = 4.6 / AB ∴ AB = 9.2 মিটার।
44. The sum of the present ages of a father and his son is 60 years. Six years ago, father's age was five times the age of the son. After 6 years, son's age will be : a. 12 years | b. 14 years | c. 18 years | d. 20 years Ans. d. 20 years ব্যাখ্যা: ধরি, 6 বছর আগে পুত্রের বয়স ছিল x বছর, পিতার বয়স 5x বছর। প্রশ্নমতে, (x + 6) + (5x + 6) = 60 ⇒ 6x + 12 = 60 ⇒ 6x = 48 ⇒ x = 8। ∴ 6 বছর পর পুত্রের বয়স হবে (x + 6 + 6) বছর = (8 + 12) বা 20 বছর।
45. If the sum of two numbers is 22 and the sum of their squares is 404, then the product of two numbers is- a. 40 | b. 44 | c. 80 | d. 88 Ans. a. 40 ব্যাখ্যা: ধরি, সংখ্যা দুটি যথাক্রমে x এবং y। x + y = 22 এবং x² + y² = 404। আমরা জানি, (x + y)² = x² + y² + 2xy ⇒ 22² = 404 + 2xy ⇒ 484 - 404 = 2xy ⇒ 2xy = 80 ∴ xy = 40।
46. A tank is filled in 5 hours by three pipes A, B and C. The pipe C is twice as fast as B and B is twice as fast as A. How much time will pipe A alone take to fill the tank? a. 20 hours | b. 25 hours | c. 35 hours | d. None of these Ans. c. 35 hours ব্যাখ্যা: ধরি, পাইপ A এর সময় লাগে 4x ঘণ্টা। B এর সময় লাগে 2x ঘণ্টা এবং C এর সময় লাগে x ঘণ্টা। ∴ তারা একত্রে 1 ঘণ্টায় পূর্ণ করে = (1/4x + 1/2x + 1/x) অংশ = 7/4x অংশ। প্রশ্নমতে, 7/4x = 1/5 ⇒ 4x = 35 ∴ পাইপ A এর সময় লাগে 4x ঘণ্টা = 35 ঘণ্টা।
47. What is the rate of simple interest for the first 4 years if the sum of Tk. 360 becomes Tk. 540 in 9 years and the rate of interest for the last 5 years is 6%? a. 4% | b. 5% | c. 3% | d. 6% Ans. b. 5% ব্যাখ্যা: মোট সুদের পরিমাণ = (540 - 360) টাকা = 180 টাকা। 5 বছরের সুদের ক্ষেত্রে = (360 × 5 × 6) / 100 টাকা = 108 টাকা। ∴ অবশিষ্ট সুদ = (180 - 108) টাকা = 72 টাকা। 4 বছরের সুদের ক্ষেত্রে, 72 = (360 × 4 × r) / 100 ⇒ r = 7200 / (360 × 4) ∴ r = 5%
48. What is the amount of equal installment, if a sum of Tk. 1428 due 2 years hence has to be completely repaid in 2 equal annual installments starting next year? a. Tk. 700 | b. Tk. 800 | c. Tk. 650 | d. cannot be determined Ans. d. cannot be determined ব্যাখ্যা: যেহেতু সুদের হার অনুপস্থিত তাই প্রতি কিস্তিতে টাকার পরিমাণ নির্ণয় করা সম্ভব নয়।
49. In a class, the number of girls is 20% more than that of the boys. The strength of the class is 66. If 4 more girls are admitted to the class, the ratio of the number of boys to that of the girls is- a. 1:2 | b. 1:4 | c. 3:5 | d. 3:4 Ans. d. 3:4 ব্যাখ্যা: ধরি, ছাত্রের সংখ্যা = 100x, ∴ ছাত্রীর সংখ্যা = 120x। প্রশ্নমতে, 100x + 120x = 66 ⇒ 220x = 66 ⇒ x = 0.3। ∴ ছাত্রের সংখ্যা = 30 জন এবং ছাত্রীর সংখ্যা = 36 জন। যদি আরও 4 জন নতুন ছাত্রী ভর্তি হয় তাহলে ছাত্র ও ছাত্রীর সংখ্যার নতুন অনুপাত = 30 : (36 + 4) = 30 : 40 = 3 : 4।
50. If x : y = 5 : 2, then (8x + 9y) : (8x + 2y) is a. 29:22 | b. 22:29 | c. 26:61 | d. 61:26 Ans. a. 29:22 ব্যাখ্যা: (8x + 9y) / (8x + 2y) = [8(x/y) + 9] / [8(x/y) + 2] = [8(5/2) + 9] / [8(5/2) + 2] = (20 + 9) / (20 + 2) = 29 / 22 = 29 : 22।
51. Two number are in the ratio 3: 5. If 9 is subtracted from each, the new numbers are in the ratio 12:23. The smaller number is- a. 27 | b. 33 | c. 49 | d. 55 Ans. b. 33 ব্যাখ্যা: ধরি, সংখ্যা দুটি যথাক্রমে 3x এবং 5x। প্রশ্নমতে, (3x - 9) / (5x - 9) = 12 / 23 ⇒ 69x - 207 = 60x - 108 ⇒ 9x = 99 ⇒ x = 11। ∴ ছোট সংখ্যাটি = 3 × 11 = 33।
52. A monkey climbs a 60 m high pole. In first minute he climbs 6 m and slips down 3 m in the next minute. How much time is required by it to reach the top? a. 35 minutes | b. 33 minutes | c. 37 minutes | d. 40 minutes Ans. c. 37 minutes ব্যাখ্যা: প্রতি 2 মিনিটে উঠে = (6 - 3) বা 3 মিটার। 3 মিটার উঠে 2 মিনিটে। 54 মিটার উঠে (2 × 54) / 3 = 36 মিনিটে। ∴ সম্পূর্ণ অংশ (60 মিটার) উঠে = (36 + 1) বা 37 মিনিটে (শেষ মিনিটে 6 মিটার উঠে চূড়ায় পৌঁছে যায়)।
53. Two trains 105 meters and 90 meters long, run at the speeds of 45 km/h and 72 km/h respectively, in opposite directions on parallel tracks. The time which they take to cross each other, is- a. 8 seconds | b. 67 seconds | c. 5 seconds | d. 6 seconds Ans. d. 6 seconds ব্যাখ্যা: মোট দৈর্ঘ্য = (105 + 90) বা 195 মিটার। মোট বেগ = (45 + 72) কিমি/ঘণ্টা = 117 কিমি/ঘণ্টা = (117 × 5 / 18) মিটার/সেকেন্ড = 32.5 মিটার/সেকেন্ড। আমরা জানি, সময় = অতিক্রান্ত দূরত্ব / বেগ = 195 / 32.5 = 6 সেকেন্ড।
54. The speed of a boat in still water in 15 km/h and the rate of current is 3 km/h. The distance travelled downstream in 12 minutes is- a. 1.2 km | b. 3.6 km | c. 1.8 km | d. 2.4 km Ans. b. 3.6 km ব্যাখ্যা: স্রোতের অনুকূলে বেগ = (15 + 3) কি.মি./ঘণ্টা = 18 কি.মি./ঘণ্টা। সময় = 12 মিনিট = 12 / 60 = 0.2 ঘণ্টা। ∴ অতিক্রান্ত দূরত্ব = 18 × 0.2 কি.মি. = 3.6 কি.মি.
55. A bag contains 2 red, 3 green and 2 blue balls. Two balls are drawn at random. What is the probability that none of the balls drawn is blue? a. 10/21 | b. 11/21 | c. 10/21 | d. 5/21 Ans. c. 10/21 ব্যাখ্যা: মোট বল = (2 + 3 + 2) = 7 টি। ∴ নীল বল ব্যতীত অন্য বল পাওয়ার সম্ভাবনা = ⁵C₂ / ⁷C₂ = 10 / 21।
56. The length of a rectangular plot is 20 meters more than its breadth. If the cost of fencing the plot @ Tk. 26.50 per meter is Tk. 5300, what is the length of the plot in meters? a. 60 | b. 100 | c. 75 | d. 50 Ans. a. 60 ব্যাখ্যা: ধরি, প্রস্থ x মিটার। ∴ দৈর্ঘ্য (x + 20) মিটার। পরিসীমা = 2(x + x + 20) = 4x + 40। প্রশ্নমতে, (4x + 40) × 26.50 = 5300 ⇒ 4x + 40 = 200 ⇒ 4x = 160 ⇒ x = 40। ∴ দৈর্ঘ্য = (40 + 20) = 60 মিটার।
57. The rocket launched from French carried how many satellites- a. 4 | b. 5 | c. 6 | d. 7 Ans. a. 4 ব্যাখ্যা: বাণিজ্যিক রকেট লঞ্চিং কোম্পানি অ্যারিয়ানস্পেস ৪ এপ্রিল ২০১৯ সযুজ (Soyuz) রকেটের মাধ্যমে ফ্রেঞ্চ গায়ানা হতে ৪টি টেলিকমিউনিকেশন স্যাটেলাইট পাঠায়।
58. Professor Amartya Sen is associated with- a. Biochemistry | b. Economics | c. Electronics | d. Geology Ans. b. Economics ব্যাখ্যা: অধ্যাপক অমর্ত্য সেন ১৯৯৮ সালে দুর্ভিক্ষ, জনকল্যাণ অর্থনীতি, মানব উন্নয়ন তত্ত্ব ইত্যাদি বিষয়ে গবেষণার জন্য নোবেল পুরস্কার লাভ করেন। তিনি প্রথম বাঙালি যিনি অর্থনীতিতে নোবেল পুরস্কার অর্জন করেন। তার বিখ্যাত গ্রন্থ 'দারিদ্র্য ও দুর্ভিক্ষ'।
59. Each year World Red Cross and Red Crescent Day is celebrated on- a. June 8 | b. June 18 | c. May 18 | d. May 8 Ans. d. May 8 ব্যাখ্যা: রেডক্রস প্রতিষ্ঠিত হয় ১৮৬৩ সালে। রেডক্রসের প্রতিষ্ঠাতা হেনরি ডুনান্টের জন্মদিনকে (৮ মে) আন্তর্জাতিক রেডক্রস ও রেড ক্রিসেন্ট দিবস হিসেবে পালন করা হয় ১৯৪৮ সাল হতে। মুসলিম বিশ্বে রেডক্রসের নাম রেড ক্রিসেন্ট।
